PDB_ID	bits
7bvaB	6.195
4d9kB	6.195
4mvj_P	5.511
7bvbB	5.198
2we8A	5.198
2we7A	4.624
2ohoB	4.624
1rjwC	4.362
5wulA	4.362
4d9kC	4.362
5h82B	4.114
6k3gB	3.88
3ho8B	3.66
3fetB	3.452
4mvjB	3.071
1f8gA	3.071
8if7A	2.897
6pr0A	2.732
4d9kD	2.732
7bvbA	2.732
6ih4B	2.732
3f8rB	2.732
3piiA	2.577
8dp2A	2.577
5h81A	2.577
6z42A	2.577
4zgwA	2.431
6qssC	2.431
1yzhA	2.293
5h81B	2.293
6z5fAAA	2.162
4hr7E	2.039
6uluA	2.039
6x9nC	2.039
4pcvA	2.039
1dv1B	2.039
6pr3B	2.039
4e21A	2.039
4fd3F	1.924
5z2lD	1.924
8hqpB	1.924
8jkuA	1.924
5wuwA	1.924
7pl1A	1.814
8v8xA	1.814
4z6kB	1.711
6bwtC	1.711
3orqB	1.711
4ywoA	1.711
6pr0B	1.711
A0A0K3CHW6	0.0001799
A0A511KH38	3.3e-05
A0A5C5G2N1	1.087e-05
A0A0J1B1V6	9.117e-06
A0A0F7SWF1	5.969e-08
I4YJB3	3.739e-08
A0A0F7SW68	3.526e-08
A0A165T365	2.483e-08
A0A0C3DAJ5	6.859e-09
A0A4Y9ZC10	6.469e-09
A0A2G8SCA1	3.822e-09
A0A4S4M9C6	3.025e-09
A0A5B1QFJ2	2.853e-09
A0A166BJJ0	2.538e-09
A0A401GRU2	1.258e-09
A0A0S1TCZ0	1.258e-09
A0A433PFJ1	1.187e-09
G7E176	9.959e-10
A0A286UR62	7.434e-10
A0A5K1JZ52	6.614e-10
A0A015LQ26	6.238e-10
A0A4Q1BM54	5.884e-10
A0A1Y1Y1Y8	3.686e-10
A0A1X0SB22	3.686e-10
A0A0L0HMG5	2.595e-10
A0A5D3AQK0	1.625e-10
A0A1Y1UJE8	1.446e-10
A0A1E3HPI4	1.286e-10
A0A0S1TIQ7	1.018e-10
A0A1Y2ASK3	7.6e-11
A0A165PXP3	7.169e-11
A0A081CJK9	7.169e-11
A0A4P9ZV97	7.169e-11
A0A0S1TJ26	6.378e-11
A0A507CH85	6.015e-11
A0A068SA56	5.674e-11
A0A2N8UJS1	4.761e-11
A0A0L0SJ54	4.49e-11
A0A4P9XGH5	3.554e-11
A0A4S8M699	3.352e-11
A0A1E3QX02	3.162e-11
A0A197K4I0	3.162e-11
A0A0K6FPE3	2.982e-11
A0A433PFJ8	2.982e-11
A0A1C7N5H0	2.653e-11
A0A1W5D0N2	2.502e-11
A0A6A6XGG4	2.502e-11
A0A068RUK2	2.36e-11
A0A397GEY0	1.98e-11
A0A1Y2H2D0	1.98e-11
