PDB_ID	bits
7jrmA	8.485
3rezC	4.914
3rfeB	4.914
1ft8B	4.487
3rw7D	3.263
4rwtD	3.118
2ifgB	2.483
8iahY	1.725
7sqcU1	1.725
7jrlA	1.575
8hq2E	1.374
3rw7C	1.255
7n3tA	0.8718
7n3tB	0.7959
4z94G	0.7959
4pbwC	0.7267
2rr6A	0.6635
8h6fY	0.6339
4pbvB	0.6057
4ezgB	0.5788
8iaiY	0.5049
4pbwB	0.461
1fs2C	0.3843
4xosA	0.3203
6f4jB	0.2794
3sb4A	0.2794
5y31D	0.267
8hq1D	0.2551
5hzlB	0.1942
8h6fX	0.1942
1a9nA	0.1855
1xwdF	0.1773
5yzgo	0.1618
1a9nC	0.1546
6wcqB	0.1478
4l3fH	0.1478
6w66B	0.1412
8hpxB	0.1177
4l3aB	0.09811
4y61B	0.08957
8axjA	0.08559
7n6g3L	0.08178
3jb9j	0.07814
4l3aA	0.07466
4rcaB	0.07466
4xsqA	0.07134
5y30A	0.05682
8j073	0.04324
3g3bE	0.04132
7k58Q	0.03605
A0A1W0W8C9	0.4981
A0A0V1B1U5	0.316
A0A1W0X075	0.3019
A0A0V1B0W1	0.1272
A0A085MWU2	0.1215
A0A3P8BW65	0.1109
A0A1Z4SI37	0.08443
A0A235I484	0.06724
A0A6B2L2T7	0.06724
A0A1U7IDY8	0.05356
A0A1Y2D4V4	0.05118
A0A5C0UF30	0.04672
A0A842TWU5	0.03247
A0A1H6FDQ0	0.02706
A0A842TT66	0.02361
A0A5C0UG33	0.02155
A0A842VV60	0.01567
A0A2G2JM40	0.01567
A0A3C1PM14	0.01367
A0A6B2L210	0.01367
A0A842VAZ5	0.01367
A0A1Y2DRS1	0.01307
A0A6H5JF42	0.01307
A0A1Y2DPG5	0.01248
A0A4D8YLW3	0.01193
A0A1B0GJU4	0.008674
A0A5D2YSJ4	0.008288
I1LUZ1	0.00792
A0A842U766	0.007231
A0A1W9L6V8	0.007231
C6ZS08	0.007231
A0A2V4BVZ3	0.007231
A0A088RKD8	0.006909
A0A5D2ZBF0	0.006027
A0A842U633	0.006027
A0A842TUT6	0.006027
A0A2T8I2I5	0.005759
A0A842VRC9	0.005024
A0A3P6SS74	0.005024
A0A453IJZ9	0.004801
A0A5K0VPE6	0.004801
A0A7K6YE63	0.004002
A0A3M1VLY2	0.003654
A0A7J7NCT1	0.003654
A0A5K0UX54	0.003654
A0A4D8Y8D0	0.003187
A0A6B2L0A6	0.00291
A0A3M1UZV1	0.002539
A0A2P5D807	0.002426
A0A835CID9	0.002318
