PDB_ID	bits
4eagA	9.918
4ealA	9.918
3ikaA	9.918
3en8A	9.918
6s6vC	9.918
1ce8A	9.918
2lbvA	9.918
4fhnB	9.918
5x7yA	9.918
2j5fA	9.918
8ajsDDD	9.918
1l7eB	9.918
8amcD	9.918
8cukB	9.918
2v9jA	9.918
4rvuD	9.918
2qosC	9.918
1zthB	9.335
7q2nAAA	9.335
4j97C	9.335
6v04A	9.335
4hpcA	9.335
1g85B	9.335
6w3gB	9.335
1srqC	9.335
2ovaA	9.335
3jylA	9.335
1x15B	9.335
4rvuB	9.335
7eskA	9.335
5k1sD	9.335
4wkgA	8.787
3k1lA	8.787
4fhmB	8.787
6qviA	8.787
8k80B	8.787
5odsD	8.787
6fv3C	8.787
6slhCCC	8.787
7lwcB	8.787
5dl0A	8.787
4fhnD	8.787
1i06A	8.787
1x14A	8.787
2hlvA	8.787
4r80B	8.787
7vt0B	8.787
7b2aA	8.787
3zq3B	8.271
5hlmA	8.271
A0A6B7PW49	0.0006306
A0A0K0PRZ0	0.0006306
A0A140GMI5	0.0005259
A0A0N9QDU6	0.0005259
A0A518BUI6	0.0003443
Q83U10	0.0002544
A0A271J5B6	0.0002394
A0A2E4YJB9	0.000188
A0A2E4TB91	0.0001665
A0A6P1UB87	0.0001665
A0A0A0ER56	0.0001665
A0A0S1LJP1	0.0001475
A0A1G6T040	0.0001475
A0A4Q6J8M2	0.0001307
A0A420WJ88	0.000123
A0A259U2U4	0.000123
A0A7W4A610	9.659e-05
A0A1Q8FKD1	9.091e-05
X2KVK2	7.582e-05
A0A0E3ZJD7	5.951e-05
F7NR40	5.602e-05
A0A1I7PHU6	4.139e-05
M2TAQ1	2.879e-05
A0A353C2L8	2.879e-05
Q091I3	2.401e-05
A0A1I2TWG1	1.884e-05
A0A0H4XMS3	1.161e-05
E3FDH0	1.161e-05
A0A7Y5LB52	7.602e-06
A0A4Q6YZK6	7.602e-06
A0A346BLB8	7.155e-06
A0A2E4QTF8	7.155e-06
A0A1S8TWZ5	5.617e-06
A0A2N7DQA4	5.617e-06
C6XID6	3.258e-06
F2YGT2	2.407e-06
D0LLC3	1.889e-06
A0A6G6AK54	1.889e-06
A0A419EQ08	1.483e-06
A0A0U4NEJ1	1.314e-06
A0A238XXV9	1.237e-06
A0A3Q9E429	8.602e-07
A0A5R9QXY3	6.752e-07
L8JST6	6.356e-07
A0A495T2I7	4.696e-07
Q53BU1	3.916e-07
A0A5C6XF00	3.686e-07
M7P2C9	2.894e-07
A0A1S1N3H3	2.564e-07
A0A385FWW6	2.413e-07
