PDB_ID	bits
2biwB	9.566
6xedA	9.566
4rifA	9.566
6stwC	9.566
6cwvA	9.566
5vaeG	9.566
7x7lC	9.566
2bzlA	9.566
1iibA	9.566
4fq5B	9.566
1y8cA	9.566
5f54A	9.566
2c7sA	8.998
6nijC	8.998
6pk4A	8.998
7zqjA	8.998
4rihB	8.998
6mv6A	8.998
1y7pA	8.998
3cffA	8.998
1i57A	8.998
3brqA	8.998
5vafB	8.998
8bk2B	8.998
3czcA	8.998
5z3mA	8.998
2a50C	8.998
5tpzA	8.464
2q62D	8.464
4oatA	8.464
1jfsA	8.464
3lf4A	8.464
5z16B	8.464
6dqpA	8.464
1vcnA	8.464
7z2vB	8.464
3p73A	8.464
4e5vB	8.464
3pegA	8.464
2acwB	7.962
6cqbB	7.962
6m36G	7.962
2nv5C	7.962
3cfaH	7.962
6fkmB	7.962
5njfA	7.962
4m5tC	7.962
5excC	7.962
8eofC	7.962
4d0dJ	7.49
A0A6I8PVZ3	7.641e-05
A0A4D9DMZ1	1.761e-05
U3FWD1	1.22e-05
A0A7N6FBD8	1.016e-05
A0A3B1KCS3	9.554e-06
A0A674PK14	4.876e-06
A0A2U9B3V9	4.876e-06
A0A2I0LK35	2.99e-06
A0A1S3RHQ9	2.99e-06
A0A7J7EZK7	2.488e-06
A0A7N4PIB6	2.488e-06
A0A673C3G9	1.724e-06
A0A673X1U3	1.622e-06
A0A7M7RCV3	1.526e-06
A0A433UDQ2	1.27e-06
A0A1L8FLH1	1.124e-06
A0A667YX68	1.124e-06
A0A7I8W3D1	1.124e-06
A0A553P3V8	9.944e-07
A0A1D1UP44	9.944e-07
A0A5E4ML12	8.277e-07
T1IWK8	7.786e-07
A0A6C0SMT0	7.325e-07
S2KD89	6.481e-07
A0A6P7T9H6	6.097e-07
A0A1J0AC87	6.097e-07
A0A5B9TMA6	5.075e-07
K1QN67	4.491e-07
A0A836E808	4.491e-07
A0A4P9ZKR9	3.738e-07
A0A140KD74	3.516e-07
A0A7R9ERP1	2.436e-07
A0A7R9BJG3	2.156e-07
G7Y4X4	2.156e-07
A0A674EED7	1.908e-07
A0A1L8DZL6	1.688e-07
Q0IEI9	1.405e-07
A0A7M7J2G0	9.158e-08
A0A6M2DT80	8.104e-08
A0A075APW9	8.104e-08
A0A060W216	7.623e-08
A0A183PT84	7.171e-08
A0A7R8ZIW3	4.969e-08
A0A0C9MSE5	4.674e-08
A0A4P9XV84	3.238e-08
A0A1R1Y9D3	3.046e-08
A0A4S9KNZ2	3.046e-08
A0A2T9YC57	3.046e-08
A0A0F2JB66	2.866e-08
A0A1L3A3G6	1.013e-08
