PDB_ID	bits
7fikh	0.03523
7e7tA	0.03028
7e7vB	0.02475
3japq	0.01829
7e7vC	0.01829
7e7wC	0.01572
7peqAF	0.01572
1jofF	0.008581
7kznA	0.008159
8h33J	0.008159
2b4wA	0.007758
4csdB	0.007758
5tf2A	0.006668
7bysB	0.004927
6zymp	0.004685
7e7uB	0.004454
8gq6A	0.004235
6v8iAI	0.004027
8glvDo	0.004027
2b5nA	0.004027
7e7vA	0.003829
5o3xB	0.003829
6mlyD	0.00364
7q3dA	0.003129
7e7uA	0.002975
5m8bB	0.002829
1vz2A	0.002312
5uw6C	0.002312
6jplA	0.002198
7k1rB	0.00209
5o3wB	0.00209
1kv9A	0.001987
7pi2G	0.001987
1yiqA	0.001987
3akhA	0.001797
7cqyC	0.001797
3c2uA	0.001708
2hu8B	0.001624
5o3wA	0.001624
5uw3C	0.001544
7pi2A	0.001544
1yrzA	0.001468
3zxkA	0.001328
7obmA	0.001328
6fhxA	0.001262
3fgbB	0.0012
3azoB	0.0012
5zqsA	0.0009809
7phvA	0.0009809
2exkC	0.0009809
