PDB_ID	bits
5ee1A	9.586
6jluQ	9.586
4n06A	9.586
8eyqT	9.586
3tulB	9.586
7otgA	9.586
6zw4C	9.586
6zvrF	9.038
8aknU	9.038
7unhA	9.038
6dhzC	9.038
7krtC	9.038
2bc5A	9.038
2bc5A	9.038
4b9qD	9.038
2bc5A	9.038
2bc5A	9.038
2bc5A	9.038
8dt0A	8.52
6zw5A	8.52
4m70H	8.52
6xz3A	8.52
3ls1B	8.52
7rwxB	8.52
6drzA	8.52
8pmjA	8.033
7lslC	8.033
2qlaA	8.033
2j8wB	8.033
7xc2C	8.033
3lofB	8.033
7yn2A	7.573
7ko2D	7.573
7bgnC	7.573
2xldA	7.573
5me8B	7.139
8iyjU4	6.731
7rmxA	6.731
7n6g6L	6.346
1l8wA	6.346
7dgwA	5.982
1t6iA	5.982
6zw4A	5.982
1vykA	5.64
6n4nF	5.64
1nzeA	5.64
6n4nC	5.317
5j0lF	5.317
2khoA	5.317
1sziA	5.013
