PDB_ID	bits
7z8bC	9.093
1yjkA	9.093
3mllA	9.093
7zjuC	7.801
3da0C	6.692
4s0sE	6.359
7p99A	6.042
7q60A	5.741
4hanB	5.455
6w3hD	5.183
7zjuA	5.183
8dsnK	4.925
4lhsA	4.925
7o7sB	4.68
2bseC	4.447
7vooA	4.015
1zruC	3.444
7q62A	3.11
2z5bA	2.409
3rj2X	2.409
7q61A	2.409
4ixmA	0.638
4ixnA	0.4462
1s14A	0.0004744
3fv5A	0.0004283
1s14B	0.000257
4hxwA	0.0002095
3u2dB	0.000199
5d6pB	0.0001797
4mbcA	0.0001622
5bodA	0.0001622
1ea6B	0.0001542
4uroD	0.0001392
4emvA	0.0001392
7rciB	0.0001257
7rcbB	0.0001257
4hy1B	0.0001135
1ea6A	0.0001135
4urnC	0.0001078
3fv5B	0.0001078
6kzvA	0.0001078
6mfqB	0.0001024
7rckB	0.0001024
7rckA	9.734e-05
4lp0A	9.734e-05
4mb9A	9.734e-05
6tckB	8.788e-05
4ktnA	8.788e-05
1h7uB	8.35e-05
6kzxA	7.164e-05
