PDB_ID	bits
2cf6A	9.459
5d5oE	8.915
5o85C	8.402
5d5oG	7.918
5h82A	6.629
3jyoA	4.645
5h82B	4.126
8c9vA	3.665
8ebtE	3.665
8ebwE	3.665
6isvB	3.665
6uekD	3.454
6gjvB	3.454
5h81A	3.255
5tj9A	3.068
5d4vD	3.068
1yqxB	3.068
5o85A	3.068
5z0cA	3.068
4yryA	2.892
5jpiC	2.892
5hm8E	2.892
5vktA	2.568
4m55E	2.421
5h81B	2.281
2wsmA	2.281
4ep1A	2.281
8b27B	2.026
4ejmA	1.91
4oaqB	1.91
2vgiA	1.8
5hm8C	1.599
5hm8A	1.507
4nf2C	1.42
6uekA	1.42
7r39G	1.42
3h9uC	1.189
3nx4B	1.189
8a3nB	1.189
8a3nA	1.12
5hm8H	1.12
6k3gB	1.12
8b27A	0.9952
8b26B	0.9952
7vidA	0.9952
5jpiB	0.884
1a7aA	0.884
5jcaS	0.884
4jbgA	0.8331
8byq5	0.8331
A0A2I0M5M2	0.02518
A0A3M0JZ39	0.009197
A0A226PJ63	0.004517
A0A3P9ACT4	0.003564
A0A2K6A6P9	0.002091
Q9YHU3	0.001554
A0A4W4GN93	0.0009676
A0A067QHU9	0.0008595
A0A6P5AL70	0.00081
A0A7J7BIS9	0.0006391
A0A6B2L2M6	0.0006023
A0A455BJQ7	0.0006023
A0A673BTF0	0.000535
A0A6J2XMK4	0.0004752
A0A3Q2YNI9	0.0004752
A0A6A3XFH3	0.0004479
T1G3S7	0.0003534
A0D2L1	0.0003534
M7B0U8	0.0003534
A0A3M7N9A9	0.000333
A0A085N7S8	0.000333
A0A1U7LIJ5	0.0003139
A0A4W4GNS3	0.0003139
A0A493T9L6	0.0002958
S3DKT1	0.0002788
A0A0F7UZF8	0.0002476
A0A016SZJ1	0.0002476
C4XVN8	0.0002334
A0A4S8V9A9	0.0002073
A0A3P7YT43	0.0001954
A0A158QM09	0.0001954
A0A120K2R5	0.0001635
U5KM42	0.0001635
A0A0J8UC23	0.0001635
A0A813J1J7	0.0001541
A0A316V387	0.0001146
A0A3M0ZUC4	0.000108
A0A2V8LI09	0.0001018
A0A220K8K7	9.595e-05
A0A1Y1M0Z2	9.595e-05
A0A165MZP8	9.595e-05
A0A3M1VLH6	9.043e-05
A0A067NF79	9.043e-05
A0A1E8FNR3	8.032e-05
A0A537Z6Q6	8.032e-05
A0A536AFV5	7.57e-05
A0A4Q5WXW7	7.134e-05
A0A2H0P5B9	7.134e-05
A0A433T8K7	7.134e-05
A0A519MSG4	6.724e-05
