PDB_ID	bits
1j7eA	9.837
7kekL	9.837
8aa9A	9.837
8aa9B	9.837
4wa6F	9.837
3rv1B	9.837
3rv0B	9.837
4e0cA	9.226
3rv0C	9.226
7deyA	8.654
1ma9A	8.117
7k5bL	8.117
4rvqA	7.613
3rv0D	7.613
2m0mB	7.613
1j78A	7.14
8fkzLD	7.14
1j7eB	7.14
1kxpD	7.14
1lotA	5.891
2oerA	5.891
3tq6A	2.561
6zm7CE	2.402
1k99A	2.402
8an5C	1.859
6zmeCE	1.859
3fghA	0.9186
6cg0N	0.9186
2yukA	0.9186
6erqG	0.8081
1aabA	0.758
5zdzN	0.7109
2hdzA	0.5502
2ctoA	0.484
1v64A	0.454
1v63A	0.3994
6oemH	0.2899
6oenH	0.255
7ploI	0.126
2ly4A	0.1182
2eqzA	0.1182
5vweA	0.1182
1hmaA	0.1109
2rtuA	0.08579
2crjA	0.08579
1wxlA	0.08579
3nm9A	0.08579
4qr9B	0.07547
6l34A	0.07078
2d7lA	0.05841
A0A5N5M2A9	1.029
A7SEY6	0.8493
A0A556TU82	0.7965
V4A3H9	0.7471
A0A6M5FHI2	0.7471
T1IDG4	0.7471
A0A3M6UQN1	0.7007
A0A2D0SXL2	0.5086
A0A3B3QTR4	0.4474
A0A818QWG9	0.4474
A0A0N1PH33	0.4197
A0A482X0H8	0.3936
A0A482V8E9	0.3692
A0A5A9PFD2	0.3692
A0A1B6MF71	0.3692
A0A1B6KK24	0.3046
B3RIY2	0.3046
V4CQZ9	0.2857
A0A6J1SP26	0.268
A0A7K9RN61	0.268
A0A3M7SQP1	0.268
T1FX48	0.268
A0A223GC75	0.2513
A0A2I2L6T1	0.2513
A0A3Q0JJ31	0.2513
A0A1W4WKT6	0.2357
A0A6A0GR39	0.2357
A0A7E4RSA9	0.2357
A0A182YD74	0.2357
A0A7L0D343	0.2211
A0A6G0ZM00	0.2211
Q6P0E1	0.2211
A0A834I689	0.2211
A0A1B6LYH3	0.2211
A0A3P8XYK2	0.2074
A0A6J0UNY8	0.2074
A0A2D0SYX0	0.2074
A0A182NDB9	0.2074
E9FRD2	0.1945
Q7QGX0	0.1945
A0A6A4VPK2	0.1945
A0A672HFR1	0.1945
O55063	0.1945
Q197R9	0.1945
E9FRD4	0.1824
A0A182FTI4	0.1824
A0A1U8CAT8	0.1711
A0A183PHL0	0.1711
A0A3S5AAI7	0.1711
Q197S4	0.1711
