PDB_ID	bits
8d06K	9.934
8axkn	9.934
5syrA	9.282
6n75A	9.282
8axkp	9.282
7t22I	9.282
5tfpB	9.282
8axkj	9.282
8axkq	9.282
8axki	9.282
7oudAAA	9.282
7ryeB	9.282
6n74B	9.282
6n71B	9.282
6n74A	9.282
2iagB	8.673
7ah92D	8.673
1t3wB	8.673
7oujAAA	8.104
7ahi2E	7.572
2nn4A	7.572
8at3C	7.075
2au5A	6.611
7oqyQ	6.611
7s69B	6.177
6cbrB	5.772
6cbtA	5.393
6o3qA	5.039
6cbrA	4.708
2hajA	3.841
2hepA	0.003534
2jvdA	0.0005284
3bhpC	0.000431
3bhpA	0.000431
A0A4Q0VNH0	9.459
A0A074LPT5	9.459
A0A1C6EGW2	9.459
A0A512CLC9	9.459
Q8Y7H5	9.459
A0A173T6D3	9.459
A0A845LS78	9.459
A0A847QXL2	9.459
A0A1M6JXW9	9.459
A0A7X0W696	9.459
A0A6N7B474	9.459
A0A1H7YPQ0	9.459
A0A433RSY1	9.459
A0A0A3IXA7	9.459
A0A1G6HEM7	9.459
A0A133KXL7	9.459
A0A292YLL3	9.459
A0A426G3J6	9.459
Q834Q9	9.459
A0A7Z1YBC5	9.459
A0A4R3NAN3	9.459
A0A430ABH9	9.459
A0A062XC13	9.459
A0A0R3K4R6	9.459
U1WG43	9.459
A0A7X8YPM9	9.459
A0A1G6J9C3	9.459
W2BYF6	9.459
T0CSG3	9.459
A0A143XZI8	9.459
A0A094JIE4	9.459
A0A263BW44	9.459
A0A1I2A3P4	9.459
A0A1G8JK31	9.459
A0A0J8Z3M9	9.459
A0A7L9S6T7	9.459
A0A7X8M0Q6	9.459
I7LI58	9.459
A0A841C4W9	9.459
A0A420VK06	9.459
W4PYZ9	9.459
Q18AS6	9.459
R6YTV4	9.459
A0A223B0H0	9.459
A0A3D2KFQ1	9.459
A0A2K9I595	8.839
A0A6I2GJY9	8.839
D7UYL2	8.839
C7GYS2	8.839
A0A1M4M612	8.839
