PDB_ID	bits
4qi6A	9.889
6vblA	9.394
7zvqA	8.924
7c5vA	8.924
1pn2B	8.053
1qynC	6.904
4qi7B	6.904
4u3tA	6.558
6vbdA	6.558
3putB	6.558
3omlA	6.23
6y3lA	6.23
4hizB	5.918
6vbmB	5.918
6xqxB	5.622
3vhxF	5.073
6xqyB	5.073
3q64A	5.073
3rd6A	4.82
1pn2C	4.349
4e3eA	4.349
3edpB	3.925
3kl1B	3.925
3g7gE	3.728
6stbB	3.542
6hooB	3.365
2imjD	3.196
3vhxH	3.196
4gn2A	3.036
3cncF	3.036
6qnuA	2.884
6qnuB	2.74
6qnuC	2.473
6ka2B	2.349
6jqlA	2.349
2wafA	2.231
4liyB	1.64
1yllC	1.558
3lydA	1.335
1h7zB	1.335
2x6bA	1.269
1yllA	1.269
2qksB	1.205
4tlmA	1.033
1yllB	0.9813
2qksA	0.9813
4liyA	0.8412
6o9uA	0.7991
3zrsA	0.7212
2il5A	0.6851
