PDB_ID	bits
5ofaB	9.487
4iloA	9.487
7d5tSO	9.487
6gy8B	9.487
5kmgP	9.487
7selA	9.487
6h7wB	9.487
5ochA	9.487
7ekmA	9.487
3fxdD	9.487
5t7vS6	9.487
1x4tA	9.487
1skvC	9.487
5imqS	9.487
5x8ro	8.881
6h7wM	8.881
3gnlB	8.881
6zblC	8.881
4bizB	8.881
6dmpB	8.881
6sgbCO	8.881
7pntL	8.881
5om0B	8.881
4v69AO	8.881
6v1vA	8.881
4v6aCO	8.881
5j73C	8.881
6rxvCh	8.313
5c21B	8.313
5d8bPA	8.313
6dlmA	8.313
6cp8B	8.313
4ohfA	8.313
3uulA	8.313
7f6jC	8.313
8r6fN	8.313
5j73B	8.313
8bhfn1	8.313
5ochH	8.313
6vlzAL	8.313
8iyjV9	8.313
6o8yo	8.313
8a3wST	8.313
7nhnp	8.313
5oqlH	7.782
6s7tF	7.782
1skvB	7.782
8j0hC	7.782
7unvo	7.782
7o5bO	7.782
A0A834DMM2	9.469
G5BAA9	9.469
A0A1B6MCM9	9.469
A0A0R1E8G3	9.469
A0A5E4N844	9.469
A0A2S2PNX6	9.469
W8BJZ1	9.469
A0A1I8JUX7	9.469
T2MD22	9.469
A0A3P7MNM9	9.469
K1T5P6	9.469
A0A2P8EI26	9.469
D4K1A0	9.469
A0A3R6APR2	9.469
A0A351TIP5	9.469
A0A1C5KG18	9.469
A0A542ALC3	9.469
A0A329TXM7	9.469
D4K7E7	9.469
A0A2V2GBE1	9.469
A0A7W8FFP4	9.469
A0A2V2EJ35	9.469
A0A3E2TSE0	9.469
A0A3R5YKY2	9.469
A0A844EGK5	9.469
U1GXD5	9.469
S6CQ54	9.469
C7HA78	9.469
A0A416K899	9.469
A8SE97	9.469
A0A355RMF5	9.469
A0A3E2U5P2	9.469
A0A4V3RS79	9.469
A0A1N7KIN0	9.469
D1PSJ1	9.469
A0A7C6N7E7	9.469
A0A173V2X8	9.469
R7FV64	9.469
A0A3D4J5Z6	9.469
A0A7K3IFB4	9.469
A0A412CHP2	9.469
A8S9Q3	9.469
A0A842S8D8	9.469
A0A2T5GAS9	9.469
R5BGC1	9.469
E2ZAU2	9.469
B0P5W1	9.469
A0A7X0RRL0	9.469
R7K658	9.469
A0A554TWK3	9.469
