PDB_ID	bits
6o8zU	9.622
4c4pA	9.042
4uj4J	8.497
8esrX	8.497
1c77A	8.497
1c76A	8.497
4zozB	7.052
7z3oSO	6.627
7ezdB	6.627
1c4pB	6.627
5d0qF	6.227
6pkxC	6.227
7z8fj	5.852
7ezbA	5.499
4fixA	5.168
6ppfT	4.856
6fu8C	4.563
7r72X	4.288
7ezeA	4.03
7ezdA	3.787
4dx8H	1.092
6d73D	0.4575
6purA	0.3796
6puoA	0.2457
6pkxD	0.124
7pktG	0.124
6drjA	0.0588
7t7hA	0.0488
7q94B	0.04309
6drkA	0.04309
2qkmH	0.03805
6puuA	0.02968
7pd3e	0.02314
5aj4Bj	0.02175
1q27A	0.02175
6zsee	0.02175
5w6xB	0.01594
8a22AH	0.01498
8dpaB	0.01323
7t7hB	0.01243
6mj2B	0.01168
4zg0B	0.01168
5x1xA	0.01168
7q94A	0.01098
6hixAj	0.01031
7of2e	0.008559
7dnuA	0.007103
7nsjBj	0.007103
5louA	0.006273
5z78B	0.004892
