PDB_ID	bits
7ct1A	9.457
7jztD	9.457
5gwpD	9.457
7cneA	9.457
7xreF	9.457
8gexF	9.457
4a0hA	9.457
7nshBT	8.913
5odnD	8.913
4dcqA	8.913
4a0gA	8.913
3oquB	8.4
2dudB	8.4
7nqhBT	8.4
4oc8B	8.4
3omlA	8.4
6cilB	7.917
1m6uA	7.917
3rt0C	7.462
6f0oA	7.462
3k55F	7.462
8ey0A	7.032
4a0gB	7.032
6wybA	7.032
4by1B	6.247
4oobA	6.247
6ponA	6.247
7tqdB	5.887
4xdvE	5.887
8ay9A	5.549
2fh4A	5.549
3w9rA	5.549
7bczC	5.549
8u00B	5.23
6b1lB	4.929
7z1sA	4.929
3p9vB	4.929
7to3B	4.645
5u8oD	3.665
6ao1B	3.455
6erkB	3.069
4lgvB	3.069
5u8oA	3.069
5i0pD	2.892
5u8oB	2.892
6ao1D	2.726
5i0pA	2.726
6ao1C	2.421
5u8oC	2.421
8tj2D	2.027
