PDB_ID	bits
4d4pE	9.475
6lqvBE	9.475
6lqpBE	9.475
2ymsD	9.475
2h6sA	9.475
7n9sA	9.475
4hqbA	9.475
4yvdA	9.475
2ce9C	9.475
1pevA	9.475
4tvdA	9.475
4aowA	9.475
6p41C	9.475
7q3dA	9.475
5nztH	9.475
7n9yA	9.475
5juyA	9.475
6eriAU	9.475
5k19C	9.475
7vpgA	9.475
8snb4A	9.475
6m7yA	9.475
5xukA	9.475
1ccbA	9.475
6ve7B	9.475
3g0gB	9.475
6niyB	9.475
6rzqB	9.475
8bsiSI	9.475
7e9mC	9.475
2p0aA	9.475
4w64B	9.475
4olbA	9.475
2b11A	9.475
5qu3B	9.475
6p42C	8.845
5mlcW	8.845
2zvdA	8.845
5i2tA	8.845
6v8w_X	8.845
6rxtUU	8.845
4j82A	8.845
5ejkB	8.845
5wlcLQ	8.845
8dzqC	8.845
2co0A	8.845
8hmeE	8.845
4zb4B	8.845
3va6A	8.845
5ejkH	8.845
A0A0M3J6X2	0.5234
A0A7R8ZYS7	0.3017
V4A902	0.2454
A0A4D5RVC6	0.2291
A0A812CKZ9	0.1624
A0A251TK34	0.1151
A0A5S6PVQ3	0.1003
A0A3P7FJM1	0.09363
A0A7E6F317	0.09363
L7MJY4	0.09363
A0A453MT51	0.08741
J9FIE1	0.08741
A0A6M2CMN1	0.08159
A0A453MT80	0.07616
A0A6A0GR05	0.0711
A0A2J8MNE2	0.0711
A0A5S6PV97	0.06637
A9T6Q5	0.06637
A0A2J8MNB2	0.06195
A0A0A0MSR1	0.06195
F1KR15	0.06195
A0A3P7L103	0.06195
A0A2J8SAK3	0.06195
A0A6M2F7Y4	0.06195
A0A3S5BW13	0.05783
A0A0V0J622	0.05399
A0A498SPP7	0.05399
A0A7M7HIR0	0.05399
C9JVK6	0.05399
B4DMH1	0.05399
B3DL77	0.05399
A0A444TEX4	0.05399
A9SPD0	0.05039
A0A402F9U7	0.05039
A0A0L8ICI2	0.05039
A0A210QC48	0.05039
A0A0X3PLN8	0.04704
A0A7R9DQM2	0.04391
A0A060X324	0.04391
A0A7M3PRW4	0.04391
Q5C124	0.04099
A0A314YC55	0.04099
A0A131ZXF1	0.04099
A0A673CXS9	0.04099
A0A7R8W0X0	0.03827
A0A226PX08	0.03827
A0A7R9QQU3	0.03827
A0A1S3ING5	0.03827
A0A2G9T6Q1	0.03827
A0A0S7KX06	0.03827
