PDB_ID	bits
6qu1D	9.739
4omkB	9.109
6h3aD	9.109
1ufzA	9.109
8f53A	8.519
2damA	8.519
4dbgB	7.968
2mj5B	7.968
4tlgA	7.968
1wr1B	7.453
6xqiG	7.453
5x0wG	7.453
2dnaA	6.971
2jujA	6.971
2dzlA	6.971
2qhoH	6.52
2oo9C	5.703
2d9sA	5.703
4ae4B	5.334
2jy6B	5.334
3f92A	4.666
2daiA	4.666
2oobA	4.364
2oo9B	3.818
3ihpA	3.818
2dahA	3.571
4un2B	3.34
2d9sB	3.34
2ooaB	3.34
1vejA	3.124
1wjiA	2.922
2jnhA	2.39
2bweF	2.236
2bweG	2.236
2bweQ	2.236
2bweP	2.236
2bweE	2.236
6w2hA	2.236
2bweH	2.236
6w2iA	2.236
2knzA	2.091
6w2gB	1.829
2cp8A	1.829
7tgpA	1.711
2denA	1.6
1z96B	1.497
2lbcA	1.145
2cwbA	1.071
1z96A	1.002
2knvB	0.005082
F6VD69	9.514
A0A7F8RCW8	9.514
B4E3V2	9.514
A0A7J7XL54	9.514
A0A2F0BKZ4	9.514
K7BP98	9.514
A0A673T8X4	9.514
A0A4X1VVD8	9.514
A0A5F8A585	9.514
Q13501	9.514
G5C7B1	9.514
B0LRP6	9.514
A0A833Z2M9	9.514
A0A803WGV2	9.514
A0A4X2LKU3	9.514
A0A835NNA7	9.514
A0A2J8JTH9	9.514
A0A5N4CJX4	9.514
A0A1S3WGN3	9.514
A0A4W2DDV1	9.514
A0A7K8JMC7	9.514
A0A384DLT3	9.514
G1T9F8	9.514
G3PV33	9.514
F1Q5Z8	9.514
A0A643BQ77	9.514
F1C737	9.514
A0A6J2PCU6	9.514
A0A803V1C4	9.514
A0A4X1VW41	9.514
A0A667G4N6	9.514
A0A3S2MV92	8.899
A0A7J7XKL5	8.899
A0A091EDI6	8.899
A0A1U8BSL0	8.899
A0A452SSU3	8.899
A0A2J8JTM5	8.899
A0A7J7XKM3	8.899
A0A850XJZ8	8.899
A0A672K2H5	8.899
A0A4X1VW48	8.899
A0A6A4T7C8	8.899
A0A1U7SA10	8.899
A0A833YVU2	8.899
A0A3Q3KG51	8.899
A0A061I0Q8	8.899
A0A3P8S5Q1	8.899
A0A091WZX4	8.899
A0A094KM02	8.899
A0A6B0S1W1	8.899
