PDB_ID	bits
5vpjH	6.467
5ft0A	6.467
2qq2F	6.467
3kh8A	6.467
2q2bB	6.128
1bvqA	5.808
8prwJ	5.504
5dioB	5.216
5vpjL	5.216
3s4kA	4.943
1m6kB	4.684
1y7uA	4.684
5ft1I	4.684
4i4jE	4.439
2qq2A	4.439
5vpjK	4.439
5mtwA	4.207
4oh0A	4.207
3isgB	4.207
5dm5D	4.207
2qq2H	3.987
2qq2E	3.778
5dm5F	3.393
4z9qA	3.393
6qw7B	3.216
2qq2G	3.216
1lo9A	3.216
3e1eB	2.888
3df6D	2.888
5l1nB	2.888
7mkuB	2.888
5t07A	2.737
6stbB	2.594
2vwdA	2.594
1qynC	2.594
7svtV	2.594
5l1nA	2.458
5vpjD	2.207
2hngA	2.207
4fx9A	1.982
5t06C	1.982
4rltA	1.879
2nujA	1.687
4zv3C	1.687
4zv3A	1.687
4fx9B	1.687
5mtwB	1.687
4z3lE	1.436
3er7A	1.436
1pn2C	1.361
B1PND0	9.901
C3ZLQ0	9.901
C3YKP7	9.901
C3YR99	9.901
A0A6P5A0Y1	9.901
A0A6P5A5W4	9.901
C3YRA1	9.901
A0A1S4NYF2	9.901
Q7Z168	9.901
D1KWU6	9.901
Q9GPI6	9.901
I0IY48	9.901
Q9U6Y3	9.383
Q8MMA2	9.383
A7S3R2	9.383
A0A7U3V473	9.383
A0A3M6TPT4	9.383
A8CLW9	9.383
B1PND5	9.383
T2HNK0	9.383
A7S1H5	9.383
Q6RYS4	9.383
H3JQU4	8.892
Q8T4U4	8.892
A0A3M6V1F6	8.892
C3YKQ2	8.892
A0A3M6V1F2	8.892
Q6RYS6	8.892
A0A3M6US01	8.892
Q6RYS5	8.892
A0A2Z5XV34	8.892
A0A1C8YXN8	8.892
A0A2Z5X7U3	8.426
Q8WTD0	8.426
A0A7M6DMT2	8.426
A0A7M5X361	8.426
G4WMX3	8.426
A0A5A4MID2	8.426
J9PJD5	8.426
A0A1S7IWM8	8.426
I1YZZ9	8.426
A0A4R7JUD5	8.426
W2JZJ6	8.426
A0A7S7YQ81	8.426
A0A1C3GHU4	8.426
A0A1C8YXK2	8.426
A0A5J6CYI5	8.426
A0A1C8YXN2	8.426
A0A2B4RJ70	7.986
A0A7X8AG94	7.986
