PDB_ID	bits
7oycY2	8.497
5eioC	7.117
7mq9LF	6.325
1r7sC	5.298
1xlqA	4.994
5wykSZ	4.994
6rxuCo	3.717
5dxtA	3.303
7r9yA	2.767
7pzyZ	2.767
1k8rB	2.459
7mfdA	2.185
7k71A	2.06
7k6oA	1.83
1f2rI	1.83
8exlA	1.83
3zimA	1.83
6nblD	1.725
8dssA	1.626
5khqB	1.533
7jiuA	1.445
6r7nP	1.284
2nptC	1.284
8ts9A	1.211
6ummG	1.211
7k6mA	1.211
4ikgA	1.141
2rd0A	1.141
4m8mB	1.076
4macB	1.076
5ubrA	1.014
6v9gB	1.014
4ny0A	1.014
6sgzE	0.9011
3au5A	0.9011
4tq0A	0.9011
8tsdA	0.9011
4ezkA	0.9011
5k1bB	0.8494
5ejrA	0.8494
3zdtB	0.7115
6pmpB	0.7115
5xpbC	0.7115
5j17A	0.7115
7c3mA	0.7115
8sbcA	0.6707
3pz8C	0.6707
8tsbA	0.6707
5sxeA	0.6707
6d21A	0.6707
