PDB_ID	bits
3m4vB	9.6
2a28C	9.6
3jqoS	9.6
3mceA	9.6
3jqoY	9.6
7egnA	9.6
7yjeB	9.6
5xa3A	9.6
2cswA	9.059
1n7qA	9.059
1n7rA	9.059
5wasA	9.059
1p0xA	9.059
2a36A	9.059
3aihB	8.548
7o3jA	8.548
7wdgB	8.548
7qwst	8.548
5z01A	8.066
1ug1A	8.066
7pqoB	8.066
2vknA	8.066
5ds2D	8.066
4fhxA	8.066
7csoA	7.612
4hgfB	7.612
3tswD	7.612
2brvX	7.612
5jqvG	7.183
7ao7B	7.183
8jc4A	7.183
3tswC	7.183
1ojoA	7.183
5fygB	7.183
7ao7C	6.778
4wciE	6.778
8eulA	6.778
8c1vD	6.778
5u6zA	6.396
1f1sA	6.396
5oazB	6.396
3lnnA	6.396
5z03B	6.396
7y0rB	6.035
3vs7A	6.035
5dqnA	6.035
8i1vA	6.035
4bhyC	6.035
3vs0A	6.035
1lxkA	6.035
Q91748	9.924
A0A0S7JKI3	9.924
A0A2D4H9U5	9.924
A0A2P4T1I2	9.924
A0A6G4ZUL5	9.924
Q25432	9.924
A0A2D4H9X4	9.924
A0A2P8Y6G3	9.924
A0A098VMR8	9.364
A0A1B6IJD2	9.364
A0A3Q0J7S0	9.364
A0A6P8HQ60	9.364
A0A0L0FBC9	9.364
A0A1B6CWT3	9.364
A0A0B7AUX3	9.364
A0A1B6FAB6	9.364
A0A1B6EVV4	9.364
A0A6P8HSW9	9.364
A0A183E0P2	8.837
A0A368FEX3	8.837
A0A7S4HJ15	8.837
A0A183PPD5	8.837
A0A2G8JVE5	8.837
A0A482WR99	8.837
A0A0N4TCW9	8.837
A0A6F9CLJ0	8.837
A0A3P7GHW4	8.837
A7T9E3	8.837
A0A368F219	8.837
A0A1Y3B4E9	8.339
A0A0B7AUC2	8.339
A0A813UTD6	8.339
A0A5E4CJU6	8.339
A0A7R8CPQ8	8.339
M7AKV8	8.339
A0A2A6BDE2	8.339
H3E7F6	8.339
A0A5J5F644	7.869
A0A0J7NVJ2	7.869
A0A7L4HA79	7.869
A0A3Q3J1I5	7.869
A0A7J6Q8P9	7.869
A0A3Q3AZN2	7.869
A0A1Y2BWA9	7.869
A0A852K4U7	7.869
A0A183I195	7.869
A0A3S5BT09	7.869
A0A2R7W390	7.869
A0A498NYK0	7.869
A0A851NQA1	7.869
