PDB_ID	bits
1zkpC	9.336
8omqA	8.254
5yatB	7.297
3ikhB	6.452
3ntjA	5.363
2cmuA	5.043
2d4aC	5.043
7jj0D	4.742
4r68C	4.459
8olxA	3.942
4l4uA	3.707
7pvaB	3.707
3thwA	3.485
1ti7A	3.277
7b5rT	3.277
2o8fA	2.897
6hsqD	2.724
3ntjB	2.562
3cfyA	2.409
3wcoB	2.409
3ntjD	2.129
6n7lK	2.129
2i1oA	2.002
7c1zA	2.002
3fgzB	2.002
7pvaD	2.002
4dn6B	2.002
6oecD	1.883
8c9vA	1.883
4l8lA	1.883
1d4zA	1.77
1nxoA	1.664
3m6mF	1.565
3b2nA	1.565
3cqdA	1.565
1u8tB	1.472
3umoA	1.472
1p2fA	1.384
3q15C	1.384
4a10C	1.384
3w9sB	1.384
3cnbC	1.301
4gvpA	1.223
3m6mE	1.223
7pvkD	1.15
1e6kA	1.082
5hevA	1.082
7c1yB	1.082
2plnA	0.8991
4qpjC	0.8991
