PDB_ID	bits
1xmxA	9.212
4l85B	6.762
6zj2N	5.976
6zixB	5.618
2qh5A	5.281
1hyqA	5.281
6xehA	4.964
5vxnA	4.124
5vxnB	3.877
5eigG	3.877
6zj2D	3.644
1zgzC	3.644
6s5oF	3.028
4knyB	3.028
5f64C	3.028
2qh5B	2.515
5vxnD	2.515
4e7pA	2.364
5w43A	2.223
5eigC	1.964
5vxnC	1.964
6y3xA	1.964
5iejA	1.846
1oxkB	1.846
2xiqA	1.736
5o8zA	1.534
6zj2A	1.534
1lsuB	1.442
5x4bB	1.442
3to5A	1.355
2nmpA	1.355
5eigA	1.355
6eo3B	1.274
1p2fA	1.126
6zixA	0.9951
6oecK	0.9354
4yraH	0.9354
6zj2M	0.9354
2ogjE	0.8794
6oecD	0.8794
4ldzB	0.8794
3h5iA	0.8267
6hg3A	0.8267
6zj2O	0.8267
6b5bC	0.8267
6oecG	0.7771
6ovgG	0.7771
3c85D	0.7305
6zj2C	0.7305
4s04F	0.7305
A0A3D8P2Y5	0.005121
A0A355UR19	0.000666
A0A7V4X700	0.000118
A0A7X0RYY1	4.667e-05
A0A2D5XEY3	3.028e-05
A0A497E6W3	8.794e-06
A0A545TWE7	6.456e-06
A0A3D5YBA2	1.217e-06
A0A1F5VD64	1.217e-06
A0A0P6YMK6	1.011e-06
A0A539DUZ8	8.395e-07
A0A202DLR2	3.998e-07
A0A8A7QY50	1.79e-07
A0A7C6DED1	1.683e-07
A0A1F4XYZ1	1.487e-07
A0A523UGZ0	1.161e-07
A0A161RR88	9.648e-08
A0A1F9UEX3	9.069e-08
A0A3D3IW82	7.083e-08
A0A0B5HP60	6.259e-08
A0A3M1ID60	5.884e-08
B1KK01	4.319e-08
A0A7J4LH81	4.319e-08
A0A1Y3PQT9	2.981e-08
A0A7C4FQ37	2.981e-08
A0A7X4I281	2.802e-08
A0A1V4W0G3	2.802e-08
X0Z1I8	2.634e-08
A0A3B1D6L2	1.934e-08
A0A2V8RI82	1.709e-08
A0A535FUQ3	1.606e-08
A0A7V3SPX9	1.179e-08
A0A7Z9M0N0	1.179e-08
A0A1G1JXI4	8.658e-09
A0A7C6CEI0	8.658e-09
A0A7Y3EFN7	7.651e-09
A0A7C5FEW6	7.651e-09
A0A374BPU4	7.192e-09
A0A7J5F825	7.192e-09
A0A381V3H7	7.192e-09
A0A7C7JRA8	5.617e-09
A0A0U9HMJ4	2.364e-09
A0A2G8SPS5	2.364e-09
A0A7Y2MU36	2.222e-09
A0A2H0LHR7	2.089e-09
A0A7C5FG55	2.089e-09
R6C8H1	1.964e-09
A0A2P7QIC9	1.534e-09
A0A855X4D2	1.534e-09
A0A1G3PUQ5	1.355e-09
