PDB_ID	bits
5gmqA	5.647e-06
4qzvD	3.508e-06
4l72B	2.839e-06
5gyqA	1.254e-07
5kwbA	6.866e-11
7ly0A	1.11e-12
7bh9E	3.4260000000000005e-20
3sciF	4.1310000000000004e-21
3sckE	3.5250000000000004e-21
3sclF	2.567e-21
3d0hE	3.824e-22
3d0iE	2.137e-22
8gsbA	8.698e-23
8t23B	3.935e-23
8fxbE	3.185e-23
3bgfA	2.577e-23
7sixB	1.519e-23
2ghvE	9.948999999999999e-24
7ru8C	3.748e-25
8j5jA	1.608e-25
7l5bA	1.1710000000000001e-25
7jn5F	9.99e-26
7sixA	8.085000000000001e-26
7f12A	5.0230000000000004e-26
7f7hF	4.2860000000000004e-26
7te1D	3.658e-26
7p8jD	2.663e-26
8q94A	1.1430000000000002e-26
7np1B	5.449e-27
8pq2C	5.169e-27
7jmpA	3.9679999999999996e-27
7rxdR	3.386e-27
8sphF	3.046e-27
2dd8S	2.3379999999999998e-27
8fxcE	2.1029999999999998e-27
7olzA	1.702e-27
7np1A	1.615e-27
8i5iR	1.307e-27
8iv8G	1.176e-27
7rpvF	1.115e-27
8t25B	9.515e-28
8q95A	7.7010000000000005e-28
8bsfA	7.7010000000000005e-28
7lm9A	7.304e-28
7fjcE	6.928e-28
7k9kA	5.607e-28
8dwaA	4.784e-28
8spiE	4.5380000000000005e-28
7p19E	4.083e-28
8j1tF	3.673e-28
