PDB_ID	bits
6rm3SQ0	9.662
8bh7i	9.662
7kwgi	9.662
3t1oB	9.1
2p8wT	9.1
3zkbL	8.571
7jqxA	8.571
3zkbM	8.571
3zkdA	8.571
3zkbJ	8.571
3zkbH	8.571
5k3aB	8.571
7qizRA	8.571
5njtE	8.073
3zm7B	8.073
5do8C	7.604
3zm7E	7.604
6y0fB	7.604
3cgzB	7.604
4dmhA	7.604
3r3yB	7.604
4dm7C	7.604
5uroA	7.604
4pu9A	7.162
5x8ri	7.162
4wpyA	6.745
8p5dSQ0	6.745
7m4ui	6.745
3zkbC	6.353
3zm7C	6.353
8apoBi	6.353
8a3wSL	6.353
3zm7A	5.984
4mebB	5.984
4i3hB	5.984
4dmfB	5.984
4v76AI	5.984
7oycQ2	5.636
8r57Q	5.636
4v5oBI	5.309
3zm7D	5.309
4dmcD	5.309
6zj3SL	5.309
7qepC6	5.309
8b2lf1	5.0
3wibA	5.0
6r2nB	5.0
3kd2C	4.709
7unwi	4.709
8cstD	4.709
K0KAT3	0.0001375
O94126	0.0001375
A0A2T0FJ83	9.04e-05
G3G413	4.15e-05
R4XHD0	1.253e-05
A0A0B7K8E8	5.102e-06
A0A0C2IP74	1.957e-06
A0A093YAA9	1.075e-06
A0A395J5A0	6.659e-07
S3BR84	5.564e-07
A0A4U7KPL6	4.379e-07
A0A1U7LJH7	4.124e-07
A0A2U3E5T6	3.659e-07
W3VJU6	1.322e-07
A0A2H4SBV3	1.245e-07
A0A3M7I084	1.04e-07
A0A0D2EML9	5.383e-08
R9P701	4.776e-08
I2K0T4	2.786e-08
A0A4T0NQ14	2.624e-08
A0A167RZ55	2.192e-08
A0A1X0QUI1	1.069e-08
A0A4V4LT07	1.006e-08
A0A318YUK1	9.48e-09
A0A1W5D3V9	8.41e-09
A0A067N2Q0	7.46e-09
A0A511KFV0	7.46e-09
A0A0G2HAT8	6.618e-09
A0A1C7MHK9	4.099e-09
A0A177WF92	3.425e-09
A0A3M1H0G6	2.252e-09
A0A4P5VWA2	2.252e-09
A0A0F8BSE3	1.481e-09
A0A812THE0	1.165e-09
A0A0K6FQ80	1.034e-09
A0A165UP21	7.663e-10
A0A1V9Y5B1	7.663e-10
A0A7S1YG64	4.47e-10
A0A7S2XXK4	3.735e-10
A0A7S3YRN5	2.456e-10
A0A6B0XV12	2.313e-10
A0A7S3PMG0	2.313e-10
A0A0L0T639	2.052e-10
A0A3F2RRK8	1.433e-10
A0A212QXU0	1.349e-10
A0A7T9HZ98	1.062e-10
A0A7X3YEB1	7.872e-11
A0A5A8CJI0	5.835e-11
A0A1Y2HQ25	5.496e-11
A0A5B9PFX2	5.176e-11
