PDB_ID	bits
1x8zA	9.387
1x8zA	9.387
2rldB	9.387
5jscC	9.387
2i0mA	8.937
2y6yA	8.937
6z0cA	8.101
5fjeA	7.343
6wvgA	6.656
6qvhA	6.656
5jscD	6.656
6akfG	6.033
5vjuA	5.744
6z0cD	5.207
2rldE	4.957
6q6bA	4.494
6wvgB	4.278
6akfA	4.073
2rldA	3.878
8glvLO	3.878
6bhpC	3.515
6akgC	3.515
3x29C	3.187
3jbrE	3.034
6q58A	2.048
8a6mA	1.95
3kp9A	0.004877
4nv5A	0.003458
4nv5B	0.003293
4nv2A	0.002842
4nv6A	0.001918
6wvaA	4.052e-10
6wv8A	1.656e-12
6wvbA	1.013e-12
6wv4A	2.781e-16
6wv5A	4.52e-17
A0A1D5QIM5	9.829
A0A2F0BCZ7	9.358
A0A7J7EG68	5.727
A0A5E4AE24	5.191
S7NJJ7	4.266
A0A2Y9LAI3	4.061
A0A7N4V029	3.681
A0A4X2LGH6	3.337
A0A2Y9RYI7	2.61
H9GC74	1.678
A0A3B3DCA1	1.379
A0A401QG44	1.19
A0A553P927	1.19
A0A1A7YMS6	1.079
A0A665TQA4	0.8437
A0A7J5XW04	0.6932
A0A5E4ABV8	0.5696
A0A3Q0SJT1	0.468
A0A3M6TJP6	0.2031
A0A401T0P4	0.1753
Q7ZYK9	0.1669
A0A1A8U191	0.1589
A0A6P7YP78	0.09723
V4C6M3	0.09257
V9LDM9	0.08814
A0A7M7HHS9	0.08814
A7SL97	0.07989
A0A7J5ZSX3	0.07606
A0A7L0UPN9	0.07242
A0A7T0LYI9	0.0595
A0A3B4CV92	0.05665
A0A668TRA1	0.05394
A0A2K5WIN8	0.05135
Q8N0U8	0.04017
A0A444UYE6	0.03825
A0A2J8TKR9	0.03825
A0A3B4CT49	0.03641
A0A402EMQ1	0.03467
A0A7N6C275	0.03467
A0A2I2U6E0	0.03301
A0A4W2IPY6	0.03143
A7RY76	0.02992
A0A7L4CRH9	0.02992
R7T430	0.02849
A0A812BS31	0.02712
A0A6P8NP97	0.02712
A0A6A4RZC6	0.02712
A0A670YD74	0.02582
A0A850VG36	0.02582
A0A6P4XS83	0.02458
