PDB_ID	bits
2o62A	4.523
3rqbA	3.621
5yvfD	3.621
4h4gA	3.621
3hm0B	3.425
3d6xD	3.425
3cjyA	3.425
3bbjB	3.24
5ep5B	3.24
5dioA	3.24
3hm0C	3.24
2ov9A	3.065
8aycA	3.065
5buwA	3.065
5byuD	3.065
8ah9A	2.899
3u0aB	2.899
2ov9D	2.899
1zkiB	2.899
1u1zD	2.899
3bbjA	2.899
5wh9C	2.899
5wh9A	2.899
4h4gH	2.742
1sxwA	2.742
1u1zC	2.742
5buyB	2.742
8aydBA	2.594
5byuA	2.594
5wh9D	2.454
2f41C	2.454
2gf6C	2.454
3bdrA	2.321
3bnvC	2.195
2egiH	2.195
3e29D	2.195
2oiwC	2.077
8aybA	2.077
2o62B	2.077
4k4cD	2.077
1tbuC	1.964
5wh9B	1.964
4h4gC	1.964
4xmgA	1.858
5buyF	1.858
1z54C	1.858
2at8X	1.757
3r87A	1.757
3r3cA	1.757
3bnvH	1.757
A0A7G9AB98	0.005077
A0A7D5G1P2	0.0004157
A0A7G2II29	0.0003148
Q9R2G5	5.937e-05
A0A3T0QY57	2.439e-05
P0AA00	1.12e-05
A0A1D8MAK3	1.12e-05
A0A332IB97	1.12e-05
Q93LM8	5.744e-06
Q9S169	3.482e-06
A0A455LP02	3.116e-06
A0A5P8JLU4	1.997e-06
Q6WWY4	1.889e-06
G9F9U8	1.69e-06
X1R4H3	1.353e-06
A0A7U3Q324	1.28e-06
A0A1W5MZS1	1.28e-06
A0A2R4NGA0	1.211e-06
A0A0H4FNT6	1.083e-06
A0A1T4SYN8	1.083e-06
A0A6P2ET22	1.025e-06
A0A2U9Q5I3	1.025e-06
W9GWJ4	1.025e-06
A0A1I5NMS1	9.168e-07
A0A1Q6VQM8	8.672e-07
A0A076Q0U7	8.672e-07
A0A855SCW2	8.672e-07
A0A8B0JLG7	8.203e-07
A0A7S7QE43	6.943e-07
A0A076PYL4	5.558e-07
A0A3R9D3X8	5.257e-07
A0A0J9DYL1	5.257e-07
A0A2S5KL09	5.257e-07
A0A847SB49	4.973e-07
A0A2S2CJ31	4.704e-07
A0A7W2GX11	4.704e-07
A0A2V5UCV1	3.981e-07
A0A2P1VMM6	3.981e-07
A0A172WXH6	3.981e-07
A0A090QGA8	3.766e-07
A0A077P7W3	3.766e-07
A0A3T0SG48	3.562e-07
C6G1Z3	3.37e-07
A0A1V9UNN3	3.37e-07
A0A084IPD5	3.37e-07
A0A4Q1S8C7	3.37e-07
H0GBF6	3.015e-07
A0A371WPA7	2.698e-07
A0A838I1T3	2.698e-07
S5RAM0	2.552e-07
