PDB_ID	bits
6e3yR	1.051
4z9gB	0.9225
4z9gC	0.5235
4z9gA	0.2496
8oyxA	0.1416
4or2B	0.1416
7wz7R	0.119
7tyiR	0.08038
6fj3A	0.06752
7eq1R	0.06188
7tyxR	0.06188
6whcR	0.04765
5uz7R	0.04002
6kjvB	0.02824
6kjvA	0.02478
6kk7B	0.02271
8gw8R	0.02174
6m1iA	0.01749
6d32A	0.01534
6kk7A	0.01289
6kk1B	0.01131
5vewB	0.01131
8jmtA	0.01083
7sf7A	0.009501
7vvoR	0.008337
6ln2A	0.007003
8fu6R	0.007003
7d68R	0.006704
7fiyR	0.006704
7vvjR	0.006419
7v35R	0.006145
7d77R	0.005883
7wbjR	0.004942
7x8rR	0.004529
6m1hA	0.003643
8itmR	0.003487
6xoxR	0.003339
7vvnR	0.003339
7vvkR	0.003339
8jitR	0.002929
7f16R	0.002929
7cz5R	0.002685
7llyR	0.001814
8fltR	0.001814
8flsR	0.001814
7e14R	0.001736
6nbfR	0.001662
7v9mR	0.001662
6x19R	0.001592
8flqR	0.001459
A0A3Q2YJF2	2.445
A0A060VWI9	0.1571
Q9TST4	0.1158
A0A3P8ZIT7	0.1016
A0A672UAQ6	0.07168
A0A067R5V7	0.06289
A0A5E4QQV4	0.05764
A0A3Q3GZE1	0.05283
A0A315VVX4	0.0287
A0A7K4KSJ8	0.02748
A0A818V471	0.02748
A0A3Q3GW28	0.02519
A0A1W0W985	0.02519
W5MU51	0.02411
A0A3Q3GHS4	0.02116
A0A815SX98	0.01939
A0A7L1VG49	0.01702
A0A1W0X0K5	0.0156
A0A672UAW6	0.0131
A0A3Q2YCF1	0.01201
A0A673N4M6	0.01201
A0A7K4U9F4	0.01149
A0A1W0X0P4	0.01149
A0A6P4JSL5	0.011
A0A4Y2H371	0.01054
A0A411DWP6	0.00885
A0A671UL93	0.008111
A0A315W3W6	0.008111
A0A1L8FHP2	0.007766
A0A1B0GLH6	0.006523
A0A1W0WQG4	0.006523
A0A3Q3GR16	0.005724
A0A2I2UDT1	0.00548
A0A673N5S2	0.004808
A0A182ND21	0.004808
A0A1W0WC25	0.004603
A0A671UFM7	0.004407
A0A671UZY7	0.003867
W5NL79	0.003544
W5MT49	0.003393
A0A7K5LMS6	0.003248
A0A4Y2KN46	0.00311
A0A4Y2KIQ2	0.00311
A0A6J0BIB2	0.002977
A0A5E4R305	0.002729
A0A673NG23	0.002394
A0A7G3ACK2	0.002292
A0A671UFJ7	0.001926
A0A671UF84	0.001843
A0A6P6MAA3	0.00169
