PDB_ID	bits
4pxeB	6.384
5mg3F	0.6204
8djmA	0.1893
8djkA	0.01764
6m49B	0.0009878
1t9tA	1.786e-06
5xamB	1.385e-06
7etwB	7.652e-07
5xamA	3.568e-07
2hqdA	1.971e-07
2hqcA	1.811e-07
1t9uA	8.445e-08
6z12A	7.436e-08
3ksoA	5.527e-08
6z12B	2.368e-08
1iwgA	2.085e-08
6z12C	2.085e-08
3aoaA	1.485e-08
4k0eC	1.104e-08
1t9wA	8.562e-09
5yhfA	7.866e-09
5xanA	7.227e-09
2hqfA	7.227e-09
3aqpB	6.927e-09
4k7qA	6.639e-09
2rddA	4.73e-09
6bajA	4.73e-09
4k0jD	4.346e-09
2i6wA	3.668e-09
4k0jE	2.844e-09
7o3lB	2.844e-09
2hqgA	1.784e-09
7b5pA	1.71e-09
3t56A	1.271e-09
5v5sL	1.119e-09
3nogB	5.682e-10
7b5pC	5.446e-10
7b5pB	4.597e-10
6vejC	4.406e-10
6csxC	2.434e-10
7k8dA	1.887e-10
6nziA	1.403e-10
4dnrA	1.289e-10
7kf7B	1.184e-10
2v50E	1.135e-10
3nocA	1.088e-10
4k0eB	9.58e-11
6csxB	9.58e-11
7rr8A	9.182e-11
6bajB	8.801e-11
