PDB_ID	bits
4aaaA	4.01e-10
1h4lB	3.584e-10
3lq5A	3.389e-10
3kudB	2.288e-10
4imyA	2.163e-10
5l1zA	1.381e-10
6fdyU	1.234e-10
7l26D	9.864e-11
3a60A	9.326e-11
3kl8A	8.336e-11
3iw4B	7.451e-11
5dykA	7.045e-11
6ilzG	6.66e-11
8em8A	6.297e-11
5ezrA	5.031e-11
7enc8	5.031e-11
4ec9A	4.497e-11
3f9nA	4.252e-11
5otfA	3.212e-11
4af3A	2.714e-11
4g3xB	2.566e-11
5f0aA	2.426e-11
1f5qC	2.294e-11
3nupA	1.833e-11
4bbmA	1.833e-11
7egb8	1.733e-11
2hakH	1.465e-11
3kucB	1.309e-11
4bcfA	1.17e-11
3kl8G	9.349e-12
3kl8C	8.357e-12
3o0gA	6.677e-12
7nwkA	6.313e-12
4mvfA	5.969e-12
3kl8E	5.335e-12
2iw9A	5.335e-12
5li9A	4.769e-12
6i2yB	4.769e-12
2j7tA	4.769e-12
6ng0A	4.509e-12
3nizA	4.263e-12
4ftrA	4.263e-12
6c2tA	3.81e-12
8guwC	3.406e-12
7nzyB	3.406e-12
3bhhC	2.878e-12
7n93A	2.878e-12
4b8mB	2.721e-12
4bgqA	2.721e-12
2c3jA	2.573e-12
