PDB_ID	bits
7oykAAA	9.828
4aduA	9.828
7qttA	9.828
5lnwC	9.828
7b9vO	9.828
1bi3B	9.828
6vmbZ	9.828
8e9iE	9.828
6vofS	9.828
6o35A	9.171
5o31E	9.171
8c0dB	9.171
3o05A	9.171
2rdcA	9.171
3qwgA	9.171
2xcsB	9.171
2ve9B	9.171
7zm7H	9.171
7v2cO	8.557
4ijaA	8.557
7q4wG	8.557
6hx3B	8.557
7ml0M	8.557
2axzA	8.557
1ohzB	8.557
6gauB	8.557
2m2eA	7.984
2p5vA	7.984
1mfqC	7.984
7ml4M	7.984
2mj5B	7.984
6inrB	7.984
4adtA	7.45
7p5hC	7.45
3femB	7.45
7vw6B	7.45
1zs4B	7.45
4adsA	6.952
4xrsA	6.952
4ob4A	6.952
8oh5A	6.952
3iam2	6.952
3n97D	6.952
7qfzG	6.952
3nrkA	6.952
5jhfD	6.487
5z58L	6.487
6ktaA	6.487
2rn7A	6.487
6q9gA	6.053
