PDB_ID	bits
5mlcW	9.548
3f8kA	9.548
2ckfE	9.548
4ihsC	9.548
1i3zA	9.548
5tshD	9.548
7mjbA	9.548
7o1fD	9.548
2bjqA	9.548
8oxhA	9.548
1jyuA	9.548
6rpxA	9.548
3hugM	9.548
7d98P	9.548
4dsdB	9.548
2i5zO	9.548
7s23C	9.548
6x4hA	9.548
6zj2D	9.548
2pm7D	9.548
8fm9A	9.548
5leyU	8.949
6mpkA	8.949
4phtB	8.949
1bkwA	8.949
6awfE	8.949
3ckaA	8.949
8g2fA	8.949
7ep9C	8.949
2af5A	8.949
6m5fC	8.949
6nnxA	8.949
2esnA	8.949
3dxkC	8.949
4ykoB	8.949
8t08R	8.949
1xipA	8.949
4phtC	8.949
6kwyQ	8.949
4j8gB	8.949
8j07s1	8.949
4l9oB	8.949
5zfqA	8.387
2qxlA	8.387
5le5U	8.387
5ginF	8.387
5y2vC	8.387
8bzlC	8.387
3dxmC	8.387
2pm6D	8.387
A0A5C5CUI9	9.855
A0A4R1NLL5	9.855
A0A752NH29	9.855
A0A6I2J0L4	9.855
A0A433ZTF0	9.855
X6QFE8	9.855
A0A2D0IK24	9.855
B6XBG6	9.855
A0A6B2FR49	9.855
A0A554TJH4	9.855
A0A315WV96	9.855
A0A237JIK6	9.855
A0A1H9N2L8	9.855
A0A6M8R7X8	9.855
A0A077QLJ1	9.855
A0A6N2U8B5	9.855
W0UAP9	9.855
A0A6I4K756	9.855
A0A066TCC4	9.855
A0A0N0FYL0	9.855
A0A1N6N1V0	9.855
A0A077NAF2	9.855
J2W0H1	9.855
A0A643ELI7	9.855
D3UZF0	9.855
A0A742KZI0	9.855
A0A1E5X628	9.855
A0A5U1N4Q2	9.855
A0A6I5RSF4	9.855
A0A7X5TI30	9.855
A0A1X0ZJ94	9.855
A0A0N8SS92	9.855
A0A348SFI3	9.855
A0A1C6Z1C9	9.855
A0A077LMB8	9.855
A0A376M9N8	9.855
A0A0N1DBM1	9.855
A0A0T9PZV9	9.855
A0A2U1IP09	9.855
A0A1Y3KYV4	9.855
A0A085V6P5	9.855
A0A433XTP4	9.855
A0A1G8TDP7	9.855
A0A1N6MW55	9.855
A0A1I3KC90	9.855
A0A068R6Q7	9.855
A0A1H6NU67	9.855
A0A1F0DU30	9.855
A0A2T4G110	9.855
A0A271QD68	9.855
