PDB_ID	bits
4oavD	7.193e-09
4y12A	7.193e-09
4itiB	1.778e-09
7q52AAA	7.376e-10
7ydxA	4.875e-10
1u46B	2.13e-10
7lgsC	3.86e-11
7t6fB	3.48e-11
4lrmE	2.98e-11
3uzsA	1.969e-11
4yjvA	1.969e-11
2wtkE	1.87e-11
1yvjA	1.444e-11
2x2mB	1.444e-11
3tkuA	1.174e-11
4yjqA	1.174e-11
6aamA	1.114e-11
7runA	1.114e-11
3f5p_D	8.169e-12
4yurA	7.757e-12
2wtkB	6.994e-12
5y5tA	6.994e-12
4ualA	6.994e-12
5i9vA	6.642e-12
3lxkA	6.642e-12
5hezB	5.989e-12
6d3lA	5.127e-12
4xg3A	5.127e-12
5ttvA	4.623e-12
3uztA	4.39e-12
6x8fA	3.958e-12
2x2kA	3.958e-12
3tkuB	3.569e-12
8hmtB	3.389e-12
7ll5A	3.389e-12
5wnfB	3.056e-12
2j5eA	2.901e-12
6ovaA	2.901e-12
4d0wA	2.901e-12
4bbfB	2.755e-12
8h75A	2.616e-12
3iw4A	2.616e-12
5f20A	2.484e-12
4d1sA	2.359e-12
4yjsA	2.359e-12
3a8wB	2.24e-12
2zm3B	2.24e-12
5wevA	2.24e-12
4e6qB	2.24e-12
3clyA	2.02e-12
A0A668U3E5	0.1391
A0A671UDG1	0.001463
A0A1W0WC65	2.21e-05
A0A1W0WC95	1.071e-05
A0A1X7RW24	9.655e-06
A0A090N441	8.706e-06
A0A161XRP3	4.442e-06
I2BK42	2.267e-06
G7DT49	2.152e-06
A0A194S7I3	1.661e-06
A0A3P8AZS3	1.423e-06
A0A286USV8	1.423e-06
A0A109UWP9	1.423e-06
A0A5S6R172	1.351e-06
A0A0V1BBA6	1.218e-06
A0A0N4WR80	6.214e-07
A0A2H5U343	5.603e-07
A0A453IBU4	4.555e-07
G7E9L6	3.9e-07
G7DS13	2.859e-07
A0A3Q3GGT4	2.859e-07
A0A2P5D428	2.715e-07
A0A6T2E891	2.096e-07
A0A0D2DC84	1.99e-07
A0A6J2PXS3	1.89e-07
A0A7S0Q040	1.794e-07
A0A090N4T1	1.249e-07
A0A124SAZ9	1.069e-07
A0A7S1I0Y9	9.156e-08
A0A315W4N2	6.373e-08
A0A150H349	6.051e-08
A0A1J4MQH9	4.92e-08
A0A0V1FVV1	4.212e-08
A0A668U8N0	3.798e-08
A0A315VVZ5	2.932e-08
A0A6B2L6Z0	2.51e-08
A0A6B2L5W7	2.041e-08
A0A7L2MCM3	1.84e-08
A0A0V1HG61	1.84e-08
A0A7K9W3F5	1.84e-08
A0A6P3Q8S2	1.84e-08
A0A453IC06	1.747e-08
A0A315W949	1.659e-08
A0A3M0KKV2	1.659e-08
A0A109UWD9	1.575e-08
A0A093T7E1	1.575e-08
A0A7S0Q3V8	1.155e-08
A0A286UJC1	1.155e-08
C1LDU2	1.097e-08
A0A671UC84	1.041e-08
