PDB_ID	bits
3m4vB	9.6
2a28C	9.6
3jqoS	9.6
3mceA	9.6
3jqoY	9.6
7egnA	9.6
7yjeB	9.6
5xa3A	9.6
2cswA	9.059
1n7qA	9.059
1n7rA	9.059
5wasA	9.059
1p0xA	9.059
2a36A	9.059
3aihB	8.548
7o3jA	8.548
7wdgB	8.548
7qwst	8.548
5z01A	8.066
1ug1A	8.066
7pqoB	8.066
2vknA	8.066
5ds2D	8.066
4fhxA	8.066
7csoA	7.612
4hgfB	7.612
3tswD	7.612
2brvX	7.612
5jqvG	7.183
7ao7B	7.183
8jc4A	7.183
3tswC	7.183
1ojoA	7.183
5fygB	7.183
7ao7C	6.778
4wciE	6.778
8eulA	6.778
8c1vD	6.778
5u6zA	6.396
1f1sA	6.396
5oazB	6.396
3lnnA	6.396
5z03B	6.396
7y0rB	6.035
3vs7A	6.035
5dqnA	6.035
8i1vA	6.035
4bhyC	6.035
3vs0A	6.035
1lxkA	6.035
