PDB_ID	bits
7n97A	9.991
4mbeF	9.991
5we0D	9.991
3kikA	9.991
1w88G	9.991
7ml7A	9.375
6g2hF	8.796
7n9qA	8.254
2yqfA	8.254
1w85A	7.744
4asiF	6.397
6g2iG	3.384
3tq6A	1.387
6erqG	0.8883
2yukA	0.8883
6cg0N	0.782
2hdzA	0.3642
1v63A	0.3417
3fghA	0.2485
1k99A	0.1807
1v64A	0.1314
1hsnA	0.1019
1aabA	0.08417
1qrvB	0.06953
5vweA	0.05744
6cimN	0.04745
2crjA	0.04745
7cyuA	0.04177
2cs1A	0.04177
1cg7A	0.03919
2d7lA	0.03919
1hsmA	0.03451
5jghA	0.03038
3nm9M	0.02355
1qrvA	0.02209
1hmfA	0.02073
6cijN	0.01825
1nhmA	0.01825
6l34A	0.01607
2yqiA	0.01415
1j5nA	0.01246
3nm9A	0.01169
1cktA	0.01169
1nhnA	0.01097
4qr9B	0.009058
1wxlA	0.008499
2ly4A	0.006588
1j3dA	0.006181
1lwmA	0.003714
2co9A	0.003485
P48430	9.339
W5PYX2	9.339
A0A822HJP8	5.98
A0A6J0UNY8	4.94
Q6P0E1	3.592
Q6NVN0	3.371
A0A7L0AXS8	3.371
A0A7K9RN61	3.163
A0A091RYS5	2.785
A0A669EXW1	2.613
A0A7L1CR29	2.451
A0A0P7V8G2	2.025
A0A3P8UNX2	1.9
A0A0B5HP19	1.673
A0A852JYS7	1.57
A0A3B5A7L9	1.382
A0A3Q2ZR70	1.217
A0A3B3ZWD2	1.142
W5LUD5	1.071
A0A093HIF0	0.9431
A0A091NJ77	0.8849
A0A1A8IE34	0.8849
A0A1U7RXR7	0.8303
A0A2P0JA33	0.779
A0A060XCS5	0.779
A0A2Y9L0A5	0.731
A0A226MUU1	0.731
Q28848	0.6435
A0A151NRH8	0.6435
A0A7K9K552	0.6435
A0A3P8V334	0.5666
A0A220QGK0	0.4988
P53783	0.468
A0A6G0J5X5	0.468
A0A3P4M8P6	0.4121
T1EL02	0.3866
V4CQZ9	0.3628
B3RUC4	0.3628
A0A7J7ZML9	0.3194
A0A6P8UDR2	0.2997
A0A091E5I3	0.2997
A0A3B5KF53	0.2997
Q4SSL9	0.2638
A0A3Q7SFA1	0.2638
A0NC02	0.2476
A0A0F6TMK3	0.2476
A0A2U9CBE9	0.1689
A0A3N0YJR4	0.1689
A0A1S3MW73	0.1585
A0A7L2PEN6	0.1585
