PDB_ID	bits
5vrdA	8.513
2p0bA	0.0003471
A0A7X9LIT7	9.037
E1SNK7	6.792
A8FV85	4.554
E1SPJ8	4.301
A0A6H1UB85	4.301
A0A4U1BJY0	1.373
A0A099L6D3	0.6918
A0A2K7SUT1	0.4381
A0A524GNE5	0.2621
A0A6B1HHY0	0.2621
A0A6L7XTX3	0.197
A0A6L7MZE1	0.1178
A0A2E4UX04	0.1051
A0A2V1GX51	0.09927
A0A3B0ZSQ6	0.09376
A0A7W2T275	0.08364
A0A1G5QV02	0.07461
A0A2E6A446	0.07461
A0A661GGY4	0.07047
A0A1F4CHQ5	0.06656
A0A4U6R3L7	0.06656
A0A7Y3H8K5	0.06656
A0A6I7N4A4	0.05938
A0A845V690	0.05608
A0A661FK00	0.05608
A0A559QS33	0.05297
A0A2A4VZB1	0.05003
A0A0S8G0G7	0.04463
A0A3L8BWD2	0.04215
A0A524KD02	0.03981
A0A7R6W709	0.03168
A0A1N7LIY9	0.02992
A0A847VHK7	0.02826
A0A1E4L0H9	0.02826
A0A1F6TEY4	0.02669
A0A1G0BHS6	0.02521
A0A661GB72	0.02521
A0A832DKK3	0.02521
A0A7Y1W1B5	0.02249
A0A7V7E5J9	0.02124
A0A2N5WXJ0	0.02124
A0A7Y2AXB9	0.02124
A0A0U3B4H9	0.01895
A0A496XKC3	0.01895
A0A522AF54	0.01895
A0A2H0YIX2	0.0179
A0A1F4QJL4	0.01597
A0A1G6SET6	0.01597
A0A2N1XJE8	0.01597
A0A7Y1ZED8	0.01597
