PDB_ID	bits
7oycY2	8.497
5eioC	7.117
7mq9LF	6.325
1r7sC	5.298
1xlqA	4.994
5wykSZ	4.994
6rxuCo	3.717
5dxtA	3.303
7r9yA	2.767
7pzyZ	2.767
1k8rB	2.459
7mfdA	2.185
7k71A	2.06
7k6oA	1.83
1f2rI	1.83
8exlA	1.83
3zimA	1.83
6nblD	1.725
8dssA	1.626
5khqB	1.533
7jiuA	1.445
6r7nP	1.284
2nptC	1.284
8ts9A	1.211
6ummG	1.211
7k6mA	1.211
4ikgA	1.141
2rd0A	1.141
4m8mB	1.076
4macB	1.076
5ubrA	1.014
6v9gB	1.014
4ny0A	1.014
6sgzE	0.9011
3au5A	0.9011
4tq0A	0.9011
8tsdA	0.9011
4ezkA	0.9011
5k1bB	0.8494
5ejrA	0.8494
3zdtB	0.7115
6pmpB	0.7115
5xpbC	0.7115
5j17A	0.7115
7c3mA	0.7115
8sbcA	0.6707
3pz8C	0.6707
8tsbA	0.6707
5sxeA	0.6707
6d21A	0.6707
A0A493TJ09	2.325
A0A7J8GSH6	1.288
A0A7J8GSF7	1.017
A0A315W1A5	0.959
A0A672T864	0.904
A0A493TP61	0.8033
A0A423THC1	0.7139
A0A455BPA5	0.6729
A0A1B0CUG4	0.6343
A0A674MM57	0.598
A0A3Q3C092	0.5637
A0A455BNN0	0.5637
A0A1B0GN34	0.4722
A0A6J0BHK8	0.4722
A0A0K2U6X7	0.4451
A0A674MEW2	0.4196
A0A0P4VI95	0.4196
A0A672T870	0.3515
A0A673CJC8	0.3123
A0A6J0ATU3	0.2775
A0A6J2PAC7	0.2616
A0A672TBC0	0.2616
A0A672T9S9	0.2466
Q7KTX7	0.2466
A0A183IVQ5	0.2466
A0A0P5A136	0.2325
A0A6J2PCN3	0.2191
A0A6J3AML1	0.2066
I3JJF6	0.2066
A0A7J7AXQ4	0.2066
A0A2I0MV45	0.2066
A0A1X7VUB6	0.1947
K1QUX7	0.1947
A0A7R9G6B4	0.1836
A0A1S3AQ21	0.173
A0A673TRU7	0.173
A0A816KHB4	0.173
A0A673TRT9	0.1631
A0A7N5P7T8	0.1538
A0A7R9IQ23	0.1538
A0A3Q3QSW6	0.1538
A0A815EXV9	0.1449
A0A6C0KCR1	0.1449
A0A818TD80	0.1288
A0A2D7CZ19	0.1214
A0A528NAE9	0.1214
A0A6A5C1G9	0.1145
A0A818R1B6	0.1017
I1M076	0.1017
A0A7S3H058	0.1017
