PDB_ID	bits
5vj0C	9.719
5cgeF	9.719
3thxB	9.719
5hruB	9.719
4j6lA	9.719
3womA	9.719
3worA	9.719
7d72F	9.719
4j6kE	9.719
2wvmA	9.154
2j6pB	9.154
5cgeA	9.154
1yeyA	9.154
8ju8A	9.154
6wn6A	9.154
7o9jA	9.154
4gi0C	9.154
7dogB	8.623
6ey7B	8.623
4ijnB	8.623
3wopA	8.623
5cgeE	8.623
5hwmA	8.623
7fj8B	8.623
4tm7A	8.623
1vhkD	8.623
4j6kB	8.623
6s85A	8.122
4l85B	8.122
2wafA	8.122
4aktB	8.122
2y4lB	8.122
6h78L	8.122
4p22B	8.122
2wvlB	8.122
7cs6B	7.65
6zeaA	7.65
7fj9B	7.65
2iirG	7.65
6h78J	7.65
5vpuA	7.65
7fjaB	7.65
1njjA	7.65
7o3dA	7.206
2wvkA	7.206
4jl2A	7.206
7o4qB	7.206
1cr4A	7.206
3n4qB	7.206
7o4tA	6.788
