PDB_ID	bits
4d4pE	9.475
6lqvBE	9.475
6lqpBE	9.475
2ymsD	9.475
2h6sA	9.475
7n9sA	9.475
4hqbA	9.475
4yvdA	9.475
2ce9C	9.475
1pevA	9.475
4tvdA	9.475
4aowA	9.475
6p41C	9.475
7q3dA	9.475
5nztH	9.475
7n9yA	9.475
5juyA	9.475
6eriAU	9.475
5k19C	9.475
7vpgA	9.475
8snb4A	9.475
6m7yA	9.475
5xukA	9.475
1ccbA	9.475
6ve7B	9.475
3g0gB	9.475
6niyB	9.475
6rzqB	9.475
8bsiSI	9.475
7e9mC	9.475
2p0aA	9.475
4w64B	9.475
4olbA	9.475
2b11A	9.475
5qu3B	9.475
6p42C	8.845
5mlcW	8.845
2zvdA	8.845
5i2tA	8.845
6v8w_X	8.845
6rxtUU	8.845
4j82A	8.845
5ejkB	8.845
5wlcLQ	8.845
8dzqC	8.845
2co0A	8.845
8hmeE	8.845
4zb4B	8.845
3va6A	8.845
5ejkH	8.845
