PDB_ID	bits
2yqkA	9.858
1p7iA	9.858
2cufA	9.858
8eupv	9.858
1fjlC	9.246
1sanA	9.246
3eyyB	9.246
4j19B	8.673
3i92A	8.673
2rohA	8.673
5hodA	8.135
7v6bB	8.135
2jwtA	8.135
1yrnA	8.135
6tdaL	8.135
2craA	7.63
1p7iC	7.63
3lnqA	7.63
1akhA	7.63
6ldmA	7.63
6npoA	7.63
2wy8Q	7.63
3on2C	7.63
1p7iB	7.157
2h1kB	7.157
6es3M	7.157
5eg0B	7.157
1enhA	6.713
2l9rA	6.713
5eeaG	6.713
6em5v	6.713
7zx8c	6.713
1p7jA	6.713
4rboD	6.297
2r5zA	6.297
5ef6G	6.297
5zjtE	6.297
8i9rCR	6.297
4v8pFQ	6.297
5zfzA	6.297
4bkxA	5.906
5flvA	5.906
6wc2M	5.906
3cmyA	5.906
3rkqB	5.54
5no6B	5.54
2da6A	5.54
6luiA	5.54
6wc5I	5.54
3hm5A	5.54
A0A164YE88	9.127
A0A199VYC0	6.627
A0A5C7I5L8	3.277
A0A5A7QZ57	1.842
A0A2Z7B2S8	1.62
A0A371H4R5	1.337
A0A835JY17	1.254
A0A1J3DZK8	1.254
A0A444YTZ4	1.176
A0A5A7T3V4	1.103
A2TJT7	1.103
A0A6J1GK35	1.103
V7BLK0	0.9708
A0A445ED91	0.9106
A0A0K9QN26	0.8541
V7CYS1	0.8012
A0A386BXP8	0.7515
A0A0L9U8F5	0.7049
A0A118K1G3	0.7049
A0A087HPN2	0.6612
A0A6A6M0T2	0.6612
A0A1S4DI48	0.6612
A0A6N2L4J7	0.6612
A0A5N5N1F5	0.6201
A0A0D3CBJ1	0.5817
A0A830CH89	0.5817
A0A6V7PU05	0.5456
A0A2U1N6D7	0.5456
A0A1D1YAB6	0.5456
A0A371ELY1	0.5456
S8EN20	0.5118
A0A5P1ES56	0.5118
A0A804IPV7	0.5118
D7TQ27	0.5118
A0A7J8VWR5	0.48
A0A151RLC1	0.48
A0A445B2F1	0.4503
M5W0A7	0.4223
A0A498J499	0.4223
A0A7J8Z255	0.4223
A0A5P1FUX5	0.4223
A0A0R0ER42	0.4223
A0A6I9S418	0.4223
A0A5P1I440	0.3961
A0A1R3HZG7	0.3961
D7KI33	0.3716
A0A7J9I0Z4	0.3716
A0A2I0VXE6	0.3716
A0A371EJS0	0.3716
A0A804IM90	0.3716
