PDB_ID	bits
4atmA	9.497
4brrB	9.497
7enjV	9.497
7zjsC	9.497
4dylA	9.497
3lg7B	9.497
5uh7A	9.497
7zn7D	9.497
4bpdD	9.497
5oo6G	9.497
6grjI	9.497
5oo6M	9.497
5izsB	9.497
3lg7C	9.497
5ka6B	9.497
8i7rF9	9.497
2lm9A	9.497
6z1uM	9.497
6rd8A	9.497
5c21A	9.497
3hahA	9.497
6x94A	9.497
3qo5A	9.497
7tzbB	9.497
7kzvO	9.497
1wp8B	8.923
8b79B	8.923
2yqyB	8.923
5qsuD	8.923
3etzA	8.923
6yvdD	8.923
8d3fA	8.923
3r84_Q	8.923
7lbmq	8.923
8gn2Z	8.923
3r84_S	8.923
4zwrG	8.923
3lnnB	8.923
2f6mC	8.923
6zcaH	8.923
6b87A	8.923
3j96M	8.383
7rroC5	8.383
7nhl0	8.383
3uumA	8.383
6xi6A	8.383
6h7wM	8.383
5nnvA	8.383
3a0bZ	8.383
3etxC	8.383
A0A0S7ET13	9.799
A0A4W4HNR1	9.799
A0A6I9PFE8	9.799
A0A0S7F161	9.799
A0A1A7XTM8	9.799
A0A6P7Y8G2	9.799
A0A3Q2DFR2	9.799
A0A0S7EUV6	9.799
A0A1A8MXM0	9.799
A0A1A7ZEJ9	9.799
A0A4W4FRW6	9.799
A0A553QP45	9.799
A0A7L3YLX6	9.799
A0A2I4CN25	9.799
A0A0S7ETQ6	9.799
M4AGZ8	9.799
Q8K045	9.799
Q05BU1	9.799
A0A091DIE5	9.799
A2BE96	9.799
A0A2K6QSY7	9.799
A0A6J3G6A6	9.799
A0A329ZU64	9.799
A0A847YVD4	9.799
A0A2H0CVD7	9.799
A0A1Y1RHU0	9.799
A0A7W0Q6N7	9.799
A0A2P2CZ90	9.799
A0A329I5R7	9.799
A0A7Z0KYY1	9.799
A0A0P9KJ80	9.799
M7PRF2	9.799
A0A131XCD0	9.799
A0A2G6G6M2	9.799
A0A7C3B9I8	9.799
A0A1M7RIR7	9.799
A0A1H9UJ79	9.799
W5YV47	9.799
A0A021VS69	9.799
A0A3M3T2N7	9.799
A0A2A2M1Z1	9.799
A0A0Q5PR97	9.799
A0A3C1S8Y7	9.799
A0A656G784	9.799
A0A0F3IQ38	9.799
A0A3M4KPY5	9.799
A0A2N8FNT2	9.799
A0A2G6FQD8	9.799
A0A3M5FQ33	9.799
A0A3M3Z704	9.799
