PDB_ID	bits
3k1iB	9.484
4iwbA	2.877
4rndC	2.737
4ewcA	4.79e-10
5n2uA	1.402e-17
5n2uB	1.04e-17
5n2uC	4.469e-18
5n2uD	1.057e-18
3tj0B	3.298e-33
3tj0A	6.0850000000000005e-34
6h9gA	8.2860000000000005e-50
7dkgA	3.8019999999999995e-51
4iryA	1.5539999999999998e-51
2ymnC	5.291e-53
2ymnB	4.1269999999999994e-53
4bblA	3.6129999999999996e-54
7dxpA	1.894e-54
4dytC	1.552e-54
2iqhB	9.131e-56
2iqhC	4.785e-56
4dytB	3.732e-56
7dkgB	3.215e-56
4iryB	3.609e-57
5b7bA	3.434e-57
4dytA	1.0950000000000001e-57
5b7bB	4.943e-58
8pzpA	1.007e-58
4dyaA	9.12e-59
5b7bE	8.678e-59
3tg6B	8.257e-59
3ro5B	8.257e-59
2q06B	4.117e-59
4dypB	2.383e-59
5b7bF	2.158e-59
7dxpB	1.859e-59
7nt8B	1.683e-59
2q06A	5.926e-60
4dysA	2.9549999999999996e-60
3zdpA	5.731e-61
4dynB	3.664e-61
3zdpC	2.121e-61
4dysB	1.654e-61
3zdpB	1.498e-61
6j1uB	6.761e-62
7nt8A	3.913e-62
4dynA	2.904e-62
6j1uA	7.589e-63
6j1uC	4.852e-63
4dysC	2.118e-64
A0A1Y1LNL2	9.731
A0A182GVS6	9.731
A0A0K8VWD7	9.731
W8BV85	9.731
A0A7K3LIB4	9.26
A0A6M2DEG6	9.26
A0A4Y2PTU0	9.26
H9JUJ8	9.26
A0A6H5H395	9.26
T1FL40	9.26
Q5YB93	8.811
A0A5N5SX10	8.811
A0A3C0NGD5	8.811
A0A1G7ZQY2	8.811
A0A4Y2EZ54	8.811
A0A0P8H115	8.811
A0A4R1IE86	8.383
A0A846KRN5	8.383
A0A4Y2I2V4	7.977
E0S049	7.977
A0A522JBC1	7.59
A0A5Q2FX18	7.59
A0A164H2V0	7.59
A0A6L7PIX8	7.222
J9ASQ7	7.222
A0A1I0NU54	7.222
A0A133NDE9	6.872
A0A2P8XZL9	6.872
A0A815W010	6.872
A0A351TSL3	6.872
A0A0F9GRY4	6.872
A0A1F3F544	6.539
A0A5J6P3C6	6.539
Q12Z51	6.539
A0A7C1ABG6	6.222
A0A157KF29	6.222
A0A1Z4G902	5.633
A0A7V5ZJC5	5.633
A0A436K8D6	5.36
A0A0P0D0X0	5.1
A0A1V5IBL7	4.853
A0A3A9GBF8	4.853
A0A821GA41	4.853
A0A522BX62	4.617
A0A1G3HEH7	4.18
A0A0F8ZH89	4.18
A0A1F9P012	3.785
B7RG14	3.785
A0A815AIP1	3.785
A0A2E4Z2P2	3.601
