PDB_ID	bits
6j63A	9.676
6iz8B	9.676
4e3eA	9.158
2wqwB	9.158
1tg5A	9.158
7pv9B	9.158
4cilA	9.158
1sp8A	8.667
7x7lA	8.667
8hzuA	8.667
6t0sA	7.764
5epiU	7.764
4p9aA	7.764
1sp9A	7.348
5ywkB	6.582
5epiI	6.582
7nhnr	6.582
6szvA	6.582
4a57B	6.229
5ay6B	6.229
8sgdD	5.895
7x7lD	5.58
5ywgA	5.58
8h69A	5.58
5yy6A	5.281
5ifdA	5.281
1s9cI	4.998
3hdjB	4.998
6szuA	4.73
5xgkA	4.01
3kayB	4.01
4jepA	4.01
5xgkC	4.01
6sgbCQ	3.795
2znlA	3.592
3cm8A	3.592
5v93q	3.4
6fhiA	3.045
6hivCQ	2.728
7jilv	2.728
2qq2G	2.728
1q6wC	2.728
5yy7A	2.728
8qppQ	2.581
6t0nA	2.443
5xgkD	2.312
8scbLL	2.188
3ga2A	1.756
5hmqA	1.662
3omlA	1.662
