PDB_ID	bits
1zdgA	9.807
4xc7B	9.284
3q15C	9.284
5cjwB	8.789
6mgiA	8.789
5nv4A	8.789
2z87B	8.32
4bxcA	8.32
4bxcB	7.456
6gwdD	6.682
2zlgA	6.682
3zgbA	6.682
6mgiB	6.326
2jkcA	5.669
4xc6A	5.367
5cjtB	5.08
5cjvB	4.553
8db3A	4.553
3zgbB	4.553
6k12B	4.31
4xc8B	4.31
4tlaF	3.277
5cjvA	2.937
8ojfA	2.937
5gajA	2.233
1oidA	2.114
1fiyA	2.001
1pknA	2.001
3e0fA	1.793
4dyeA	1.793
6umkA	1.697
8ojfB	1.607
3jteA	1.44
5auqC	1.363
2oqhC	1.363
2oqhD	1.291
8edsB	1.157
4yngB	1.095
8arvB	1.036
4ff5A	0.8793
4yngG	0.8793
3n25F	0.788
5cgeE	0.746
8edtA	0.746
3g77A	0.746
4r7wB	0.7062
1we5B	0.6328
8edrB	0.5991
2e28A	0.5671
8iavC	0.5369
F6Z4F8	1.726
A0A6P5JE73	0.3929
A0A835TUR6	0.2987
A0A671FQ00	0.1926
A0A444V7S7	0.01727
A0A553R3T8	0.001115
Q59GJ6	0.0001637
A0A7L3GY27	3.935e-05
Q4T956	3.935e-05
A0A2U4AZP1	1.729e-05
A0A6J1ZFS9	1.637e-05
A0A2J8USL5	1.55e-05
A0A6P5J5B6	1.245e-05
A0A480RAG8	8.029e-06
A0A1X7UHX6	5.779e-06
A0A1D1VQM5	5.47e-06
A0A673GDN2	1.73e-06
A0A2U4AZN5	1.468e-06
G9KBN9	1.315e-06
A0A7R9BFB1	1.315e-06
A0A818UFA0	1.245e-06
A0A6P7S4G5	6.814e-07
A0A267EWS6	5.473e-07
A0A4U5URW4	5.181e-07
A0A6G0UN25	3.342e-07
A0A2P4WG75	2.995e-07
A0A6P6XPX7	1.469e-07
A0A1I8C7Q4	1.39e-07
A0A418DET6	1.057e-07
A0A6U3A3Z4	9.472e-08
A0A0V1BG71	9.472e-08
A0A0V1H159	4.645e-08
Q9SE60	3.343e-08
A0A6B1GTM5	2.685e-08
A0A3P6TXN7	2.542e-08
A0A7S4I2K0	2.278e-08
A0A3M7STU8	1.639e-08
E0XYM8	1.639e-08
A0A078ABA5	1.469e-08
A0A077ZEP2	1.391e-08
A0A7D9HV13	1.391e-08
A0A1S3JLQ6	9.476e-09
A0A7S4FYJ6	8.039e-09
A0A7J6MRC1	6.82e-09
A0A890VW41	6.456e-09
A0A670JLT2	6.456e-09
A0A1Y2I0I9	5.477e-09
A0A2D4BX93	5.477e-09
A0A7J6MQR5	5.185e-09
A0A1U7LVH9	4.909e-09
