PDB_ID	bits
4ddqC	8.935
1qynC	8.935
7bi2A	7.998
4ddqB	6.773
4ddqF	6.062
4gn2A	5.735
4b9rA	4.595
6k7dA	4.113
5odnH	3.483
3tqyD	2.79
2ciuA	1.791
3eivA	0.8242
4r9iA	5.305e-14
2wxxC	9.004e-15
2wxxB	6.824e-15
5m3yA	4.38e-15
2wxwA	1.158e-15
2wxxA	9.279e-16
2wxxD	7.857e-16
6i3iA	6.653e-16
2x0bF	5.634e-16
2wxyC	4.27e-16
5m3xB	3.616e-16
2wy1B	3.421e-16
2wy1A	2.741e-16
2wy0C	2.593e-16
5m3xA	2.078e-16
6i3fA	1.575e-16
2wxzA	6.857e-17
2wxzC	3.156e-17
1atuA	2.087e-18
6hx4B	1.975e-18
5c98A	6.166e-19
5c98B	5.519e-19
1m93B	1.822e-19
8h55B	4.5570000000000006e-20
4au2C	3.859e-20
4ro9C	3.4540000000000004e-20
1kctA	3.4540000000000004e-20
8h55A	3.091e-20
2r9yA	2.0970000000000002e-20
2v95A	1.877e-20
4rsqA	1.59e-20
4rsqC	1.59e-20
4robC	1.504e-20
4rsqI	1.4230000000000002e-20
4ro9A	1.078e-20
4rsq_J	7.316e-21
4rsqH	5.246e-21
4rsqB	3.762e-21
