PDB_ID	bits
3n10A	9.79
1t0hA	9.79
6on5A	9.79
5e0uC	9.79
6cx4A	9.79
8damA	9.79
6qh1A	9.79
5momA	9.79
7tibG	9.79
7bu9G	9.79
5m1uA	9.79
5z4gB	9.79
6d0rA	9.79
2ftbA	9.79
7m5mC	9.222
2oq0C	9.222
5v7lA	9.222
6vbv1	9.222
5v2qA	9.222
5yzpA	9.222
7ur8A	9.222
6ybt1	9.222
5hlmA	8.688
6cbiC	8.688
6rd47	8.688
3qr1A	8.688
2d8hA	8.688
7kc0E	8.688
8aphC1	8.688
8e84C	8.688
6fcnA	8.184
3aohD	8.184
1vytB	8.184
6on7B	8.184
5v7mA	8.184
7qo1F	7.709
7bqzG	7.709
5e0tC	7.709
5yd8X	7.709
6w9wA	7.709
6cx2A	7.709
3f1wA	7.709
2a6hN	7.709
7bqzA	7.709
5jsgB	7.709
4zw2A	7.709
2zvwE	7.262
4m8rA	7.262
7nerA	7.262
7pmaA	7.262
W1Y6Z1	5.971
A0A7I6YDG0	2.588
A0A828W494	2.588
A0A6L3XU64	2.438
A0A376U073	2.296
A0A370Q9Y0	2.038
A0A2J5Q2Y5	1.808
A0A2J4PLS9	1.703
A0A068Z6H2	1.703
A0A829QZF7	1.512
A0A0K6H6T1	1.512
A0A0R3ALA0	1.512
A0A7Y7AVH9	1.424
A0A3C1HT24	1.424
A0A0C4WNI2	1.341
E8M9E4	1.341
A0A655R9I0	1.19
A0A1I4T1Y3	1.121
F9RKH8	1.121
A0A7X8TRA9	1.121
A0A430KP20	0.995
A0A1B5F2N4	0.995
A0A2E6REW8	0.995
A0A495V7A9	0.995
A0A7Y0S1L0	0.9373
A0A1H6SL18	0.9373
A0A2E2DF25	0.883
A0A177RB38	0.883
A0A0B4XP60	0.883
A0A3G7A6A4	0.883
A0A6M8VMU5	0.8318
A0A1G8A9A6	0.8318
A0A3M5P433	0.8318
S6L4G9	0.7836
A0A7Y7D8D1	0.7836
A0A1H1WDI2	0.7836
A0A1H9Y2I9	0.7381
A0A553FIY9	0.7381
A0A7X5AXF7	0.6953
A0A2T5EAN7	0.6953
A0A0Q8D961	0.655
A0A1H9WLL0	0.655
A0A7W4ZC88	0.655
E4PH65	0.655
A0A351UZC2	0.617
A0A5E7QF48	0.5475
A0A2E4GH96	0.5475
A0A248LMJ4	0.5158
W9VRH7	0.5158
A0A656JUK2	0.5158
