PDB_ID	bits
8e0mL	9.256
5ylzs	8.316
6e9rB	8.316
8e12B	8.024
8d3fA	8.024
3nmxA	6.955
6bzdC	6.955
5cwmA	6.476
6e9tB	6.476
6qhdB	5.416
4yjlB	5.416
5cwnA	5.226
7qttu	4.371
7vdvQ	2.847
5feyA	2.651
7abit	2.651
4orhC	2.558
8fbkA	2.468
7dvq9	2.468
3cwgB	2.382
6s53H	1.992
5qsxB	1.855
4whvJ	1.551
7bbdB	1.497
8a58C	1.085
4aycA	1.085
6fgaD	1.047
4orhL	1.01
2y43B	0.9749
5dinA	0.8451
4aycB	0.7868
2bayC	0.635
5h7rD	0.3586
7sqcK1	0.3338
4xi1A	0.3221
4wz3B	0.2894
8qhcD	0.2335
3bctA	0.2174
7ue2A	0.1634
4wz2C	0.1468
4wz0A	0.07184
7xedC	0.06454
3tx7A	0.05398
1i7wC	0.03777
2oxqD	0.03274
7xedD	0.03274
2c2lD	0.01916
2c2lC	0.01784
2f42A	0.01492
1wgmA	0.003448
