PDB_ID	bits
4ud5B	9.448
3hty_L	9.448
2pqtA	9.448
4bdeA	9.448
2zvzB	9.448
7ckoB	8.843
7pogA	8.843
3w1zD	8.843
6ehrF	8.843
2ygdA	8.843
6jwpD	8.277
3k44A	8.277
3hn5B	8.277
4xpqA	8.277
3tixB	8.277
7bzw1	8.277
4ydzA	7.747
5gt1A	7.747
1s9cH	7.747
1srpA	7.251
2bolA	7.251
7u1zB	7.251
3ebmB	7.251
3p3kA	7.251
5ohyD	6.787
3l1eA	6.787
4uoiE	6.787
6jfwB	6.787
6izeA	6.353
8fxsD	6.353
1satA	6.353
3kvpD	6.353
3l1fA	5.946
6j9eJ	5.946
4fuwA	5.566
5zulE	4.876
5ty7A	4.564
5i4qA	4.564
5yk5A	4.564
5trvA	3.998
4khbG	3.998
2l1sA	3.742
6l6mA	3.742
7ljcA	3.503
6fcoF	3.503
7ck4A	3.503
1u2xB	3.279
1ifqA	2.516
5yclD	1.931
7btzA	0.9329
