PDB_ID	bits
8ef1H	7.925e-05
4onhB	7.925e-05
5jxaH	4.356e-05
7jkbA	4.125e-05
7kzcH	4.125e-05
5d72L	3.319e-05
8cn9B	2.819e-05
2rcjC	2.67e-05
8awmL	2.268e-05
8g19L	2.034e-05
1aqkL	1.926e-05
7dc6D	1.728e-05
7dunH	1.549e-05
7ox4B	1.549e-05
4lluD	1.39e-05
3p0vI	1.316e-05
7dc8D	1.246e-05
5c7kB	1.246e-05
7pqzB	1.246e-05
3hi6X	1.18e-05
1jn6A	1.118e-05
7m42A	1.059e-05
4orgL	1.003e-05
8ae2I	9.496e-06
4llwD	8.993e-06
1adqL	8.993e-06
6n5dN	8.993e-06
6d2pL	8.517e-06
3ma9L	7.639e-06
4lsuH	7.639e-06
6ss6LLL	7.234e-06
7czwL	7.234e-06
5f3hE	7.234e-06
5iq7L	6.851e-06
4ocwL	6.851e-06
7jz4C	6.851e-06
7bsdH	6.851e-06
5albL	6.488e-06
1f4xL	6.488e-06
6mtrL	6.488e-06
6mtyL	6.488e-06
1a8jL	6.488e-06
4a6yL	6.145e-06
7f3qL	6.145e-06
7mfaV	6.145e-06
5esvC	6.145e-06
8gb5K	5.819e-06
8eooB	5.819e-06
6n5eI	5.511e-06
5d70L	5.511e-06
P30376	0.01433
D5KRD4	0.007877
B8Q9F9	0.005684
B8Q9J9	0.001813
F6I9X9	0.001239
B8Q9K1	0.0008017
B8Q9G2	0.0007191
A1JUW1	0.0005478
B8Q9L0	0.0005478
A0A096NSR1	0.0004913
A1JUU0	0.0004407
A0A896A4K4	0.0003357
F4MSM5	0.0003357
A0A0P1CZ01	0.000318
B2ZHX7	0.000318
P30379	0.0003011
D5KR99	0.0002852
D5KRA5	0.0002701
A0A223GCH9	0.0002422
A0A1G4P0X7	0.0002422
A1JUW9	0.0002294
P30385	0.0002173
A0A896A0D0	0.0001845
D5KRA9	0.0001568
A0A895ZXT1	0.0001568
A0A1R3UX18	0.0001406
Q6WJ19	0.0001194
D5KRE9	0.0001071
D9UB03	0.0001071
A0A2K5U256	6.931e-05
B7SKS9	6.931e-05
B0JDS6	6.564e-05
A0A1G4P0Z8	6.564e-05
Q30870	6.216e-05
A0A0P1CZ64	6.216e-05
E0Z0E2	6.216e-05
A0A895ZQP8	5.576e-05
Q9MY41	5.28e-05
A0A0M5N6Y9	4.736e-05
A0A452ST92	4.736e-05
B0JDR7	4.736e-05
D8WRM3	4.485e-05
E3WHS6	4.485e-05
D8WRJ8	4.023e-05
A0A2K5SIY7	4.023e-05
A0A2R9A3J4	4.023e-05
A0A2K5SJ95	3.81e-05
Q9UE94	3.608e-05
A0A5F9D0Y6	2.902e-05
Q6IV50	2.749e-05
