PDB_ID	bits
2otbB	9.477
6xwyD	8.997
2ye1A	8.997
1cv7A	8.541
6oyhC	8.541
5ebjA	8.541
1rm9A	8.541
4ncbA	8.108
2b3qA	8.108
2vzxC	7.698
6qsoA	7.698
4ncaA	7.698
4h3mA	7.698
3cglE	7.698
4tzaC	7.308
3ed8E	6.937
4w6rC	6.586
3wckF	6.252
5gq9B	6.252
4z4kB	5.936
7ugsA	5.936
1yhgB	5.936
6oyhD	5.936
4ncbB	5.936
8a83A	5.936
7a7rA	5.635
8i4kA	5.635
5j3nB	5.635
6oyhB	5.635
6wvfA	5.635
6lr7A	5.635
6wv5A	5.35
4n47A	5.35
3pf1B	5.079
5y01A	5.079
4ncaB	5.079
4rywC	5.079
7x2bA	4.821
4xowA	4.821
3ed8B	4.821
3ed8A	4.821
6mdra	4.577
1qxtA	4.577
2g2sB	4.577
6aa6B	4.345
4kexA	4.345
3hvrA	4.345
4n76B	4.345
5j2oA	4.345
4ogsB	4.125
