PDB_ID	bits
4ue4C	9.687
5mrc66	9.687
2pxqA	9.687
2qwwF	9.687
1qpzA	9.687
2pueA	9.687
1f07A	9.152
3hugC	9.152
8d8k6	9.152
7l1iA	9.152
3hugM	9.152
6t1fD	9.152
3g33D	9.152
6y93A	8.647
1enhA	8.647
7nvuM	8.647
1rr7A	8.169
1lccA	8.169
6ideB	8.169
7lq4A	8.169
7ol9A	8.169
3fzvB	8.169
2w48D	8.169
6zj2C	7.292
7tz1A	7.292
4xcoD	7.292
5clvF	7.292
5w43A	7.292
5vxnC	7.292
3hugE	6.89
1s4kB	6.89
5vxnA	6.89
5w8zA	6.89
2n5gA	6.89
2l1pA	6.89
1efaB	6.89
6zixA	6.89
6wnmA	6.509
3hugA	6.509
2pe5B	6.509
2h8rB	6.15
5v5uB	6.15
7zcvA	5.81
6uglA	5.81
5w8yA	5.489
7p7cE	5.489
2csfA	5.489
2l49B	5.186
5d4z5	4.9
6x6fD	4.9
A0A379GGX5	1.07
A0A376UD70	0.3848
A0A6G6Q5W5	0.3066
A0A6G6JPM0	0.2897
Q7N301	0.2897
A0A2V1H275	0.2737
A0A370T4D9	0.2586
A0A4R4IPX5	0.2586
G2GXC2	0.2443
A0A366CWI9	0.2308
D1P388	0.2308
A0A1S8Y9Q0	0.2181
A0A1I6D078	0.2181
W1J799	0.206
A0A6B9FY49	0.206
A0A378GI80	0.206
A0A4Q9D5B2	0.1947
A0A6D0J4N5	0.1839
A0A087KXK2	0.1839
A0A1Q5VK61	0.1839
A0A4V2X428	0.1738
A0A8B3UYK1	0.1642
A0A285Q3X1	0.1642
A0A0P6Z638	0.1551
A0A348DL69	0.1551
A0A419NC19	0.1465
A0A8A9EBG9	0.1384
A0A1B9JSV2	0.1384
A0A523KAA6	0.1384
A0A5V0DES4	0.1384
A0A4Q9D624	0.1384
A0A242NXW6	0.1384
G2GXC1	0.1384
A0A2E2TJH9	0.1308
A0A5S3Z950	0.1308
A0A858BD58	0.1308
A0A212J3K8	0.1308
A0A2P5N613	0.1308
A0A2X3F887	0.1308
A0A7C1YDW7	0.1236
A0A831RMZ2	0.1236
A0A1Y6CJU6	0.1236
F5S6S7	0.1236
A0A7L7IK22	0.1168
A0A2J5P958	0.1168
A0A379DPJ1	0.1168
A0A522DA06	0.1103
A0A2E2QAT0	0.1103
A0A7W5Z2G7	0.1103
A0A1I0CD38	0.1103
