PDB_ID	bits
5ofaB	9.487
4iloA	9.487
7d5tSO	9.487
6gy8B	9.487
5kmgP	9.487
7selA	9.487
6h7wB	9.487
5ochA	9.487
7ekmA	9.487
3fxdD	9.487
5t7vS6	9.487
1x4tA	9.487
1skvC	9.487
5imqS	9.487
5x8ro	8.881
6h7wM	8.881
3gnlB	8.881
6zblC	8.881
4bizB	8.881
6dmpB	8.881
6sgbCO	8.881
7pntL	8.881
5om0B	8.881
4v69AO	8.881
6v1vA	8.881
4v6aCO	8.881
5j73C	8.881
6rxvCh	8.313
5c21B	8.313
5d8bPA	8.313
6dlmA	8.313
6cp8B	8.313
4ohfA	8.313
3uulA	8.313
7f6jC	8.313
8r6fN	8.313
5j73B	8.313
8bhfn1	8.313
5ochH	8.313
6vlzAL	8.313
8iyjV9	8.313
6o8yo	8.313
8a3wST	8.313
7nhnp	8.313
5oqlH	7.782
6s7tF	7.782
1skvB	7.782
8j0hC	7.782
7unvo	7.782
7o5bO	7.782
