PDB_ID	bits
8a1gB	9.583
6xs4A	9.583
1ej8A	9.583
5dhdA	9.583
4ojaA	9.583
7odyA	9.583
7a0gGGG	9.583
7odyB	9.583
4k9eC	9.068
7u06E	9.068
3qy9D	8.12
2luhA	8.12
5a9hA	7.27
4fzsA	7.27
6gybb	7.27
4zbfD	6.88
7k75I	6.88
1jk9B	6.88
7jn7C	6.16
8dl0A	5.829
6kzbC	5.829
2ddmA	5.516
3hc2A	5.516
7mmoD	5.516
8hcrT	5.516
7ui8A	5.22
1r9dB	5.22
8brnD	4.939
5t9gA	4.939
6cjzA	4.674
8dneA	4.674
8bvsA	4.423
2a9bA	4.185
1soxA	4.185
5u9mD	3.546
2a9dB	3.546
1ky7A	3.355
4wyqD	3.004
8dncC	3.004
5t9aB	3.004
6mvfE	3.004
1i8lD	3.004
2druA	2.843
3f65G	2.843
1soxB	2.69
5ag9B	2.69
2m83A	2.546
1owwA	2.546
5t9gB	2.409
2djuA	2.279
A0A229QXW6	9.617
A0A1I7UJG7	9.617
A0A7I8XFW1	9.617
A0A016WFK8	9.617
G0NCF8	9.617
A0A7I8X369	9.617
A0A7E4ZX80	9.617
A0A6V7UR63	9.617
A0A2L2YLJ9	9.617
A0A6V7YAE6	9.617
A0A2M3ZZK3	9.617
A0A6V7U9E6	9.1
A0A2G5SDC1	9.1
A0A1I7WZT9	9.1
A0A2A2LHN1	9.1
G0PM73	9.1
A0A6V7UBC0	9.1
A0A3P8D2V6	9.1
A0A1I7WR12	9.1
A0A368GLE2	9.1
G0PNE9	9.1
A0A6V7YDB8	9.1
A0A6V7XEX6	9.1
A0A6V7YD86	9.1
A0A0C2CRL9	9.1
A0A7I4YVW9	9.1
A0A2G9TK67	9.1
A0A6V7YBR6	9.1
A0A368FTR9	9.1
A0A0B1SWP5	9.1
A0A6V7W8A6	9.1
A0A6V7X472	9.1
A0A4X3NTF6	9.1
A0A821XY00	9.1
A0A183FTU6	9.1
A0A183FUE8	9.1
A0A6A5GKS4	9.1
A0A0C2FMB3	8.611
A0A2A6BLB7	8.611
G0P2L2	8.611
A0A016WHW5	8.611
A0A0C2FYW2	8.611
A0A260ZGC2	8.611
A0A183F5L8	8.611
A0A016VRZ8	8.611
A0A2G5UZY2	8.611
A0A183G0P8	8.611
A0A7I4YA59	8.611
A0A016TX15	8.611
A0A183FTT7	8.611
