PDB_ID	bits
7dl8A	9.671
5tvoA	9.671
6lxwA	9.671
7am0C	9.671
1yr0D	9.671
8fkwLA	9.078
6mnmA	9.078
6xq8A	9.078
6xq8B	9.078
3fzbG	9.078
2jlmB	9.078
3n9vA	8.522
6ueaA	8.522
7wrsB	8.522
5hxlA	8.522
1s4dG	8.522
6qzlC	8.0
7am0A	8.0
6znbAA	8.0
8fkrLA	8.0
4zziA	7.51
5tvmE	7.51
6m8sA	7.51
3h9sD	7.51
4pzuB	7.049
7s65F	7.049
1pdfB	7.049
2g88A	7.049
4n18A	7.049
7nduDDD	6.618
8agbE	6.618
8fkvLA	6.618
4yh6B	6.618
8euyP	6.212
6g57D	5.831
6ueaL	5.831
7kznO	5.831
7ttzB	5.831
5tvmD	5.474
3d4oA	5.474
3m88B	5.139
6bm7F	4.824
1xahB	4.528
6ue7A	4.528
5v72B	4.251
5vviC	3.99
8eupP	3.99
5vg6B	3.99
1xahA	3.746
2zpaB	3.516
A0A376JBC4	0.0002093
A0A3G2IHG4	0.0001526
A0A143WSW4	6.706e-05
D2U2B2	6.295e-05
R8AM58	4.043e-05
A0A1L5L382	2.597e-05
P43791	1.893e-05
A0A0Q9YXI8	1.777e-05
A0A2W4P710	1.668e-05
A0A7C6AVX4	1.38e-05
Q6LV44	1.296e-05
A0A3C1SUH7	1.142e-05
A0A0X9WAQ9	1.142e-05
A0A7Y3DDH6	7.812e-06
A0A263JBC2	6.066e-06
A0A432FT97	5.018e-06
Q8D3H9	5.018e-06
A0A3A3D1P7	3.897e-06
A0A3B0XNT0	3.223e-06
A0A1B7UQB2	3.026e-06
A0A2E0ZMS6	3.026e-06
A0A2E0XZE4	2.84e-06
A0A662ZFR2	2.206e-06
I1YJL7	1.944e-06
A0A1G2FLV7	1.944e-06
A0A497CDD3	1.713e-06
F7RRR2	1.33e-06
A0A2E0PZZ7	1.248e-06
A0A557RMA8	8.543e-07
A0A348N303	6.634e-07
A0A2D7S6L3	5.488e-07
A0A1F7CWE5	5.488e-07
A0A2K9B139	3.525e-07
A0A847GKX0	2.916e-07
A0A6B3WB20	1.873e-07
A0A2A5HSZ7	1.454e-07
A0A380MMN4	6.393e-08
A0A317CKQ4	5.634e-08
A0A7W0HFA6	4.107e-08
A0A3D8LEM0	3.619e-08
A0A1R3X7G4	3.397e-08
A0A6G7VDQ6	2.993e-08
A0A1M5A2B9	2.324e-08
A0A1G2H478	2.182e-08
A0A522VR55	9.591e-09
A0A3N5L6K4	9.003e-09
A0A1G2E2Y7	5.783e-09
A0A4Q5M0U6	5.429e-09
A0A090AM99	4.491e-09
A0A7K1XXX5	4.216e-09
