PDB_ID	bits
4e6wC	9.353
3o3vC	9.353
6c0jA	8.83
2qmuC	8.83
6wpxA	8.337
1s1vA	7.871
4qhbA	7.871
2hnyA	7.871
4xohC	7.432
4qhbD	5.905
3ks7C	5.905
4qhbB	4.693
2yrbA	4.183
4xohB	3.729
6f1dA	2.494
6qe7B	1.766
5hkjA	1.404
8dhlA	1.325
7kp8B	0.9941
8dhlB	0.9941
7u0wB	0.8862
7uafD	0.8367
6x83F	0.6648
4gwmA	0.6648
5hbaA	0.5283
1wmfA	0.5283
1wmeA	0.4988
7msgA	0.3963
4r4xA	0.3336
4gwmB	0.3149
7zgnA	0.2973
7db5A	0.2807
5b4xA	0.2363
4n90C	0.2231
2wnvB	0.2106
4oumA	0.1989
2yglB	0.1989
7ta6F	0.1773
2wnvE	0.158
5faxB	0.158
6x82D	0.1409
5awqA	0.1409
4gwnA	0.1256
2az5A	0.07928
7ehgE	0.06672
6i50A	0.06299
3qd6F	0.05948
6cu0E	0.05615
5bnqA	0.05302
8jmrB	0.04213
A0A0Q3WUS3	9.822
A0A0Q3VAU1	9.822
A0A0Q3Q3B7	9.822
A0A0Q3Q4K1	9.822
A0A7K3LI44	9.273
A0A1R1PF82	9.273
A0A812IAW9	8.755
A0A4R5G9I0	8.755
A0A2U3EBL7	8.266
A0A7W6QR32	7.805
A0A349SNR7	7.369
A0A402D0V9	7.369
A2R2S5	7.369
A0A844GV30	6.957
A0A261R7U0	6.957
A0A525K526	6.957
A0A5S6QEN5	6.569
F9F6S7	6.569
A0A193GIT2	5.855
A0A640SPQ2	5.855
A0A0T6LYR4	5.855
A0A3D1WS90	5.855
A0A094EZ40	5.528
A0A5C9BJJ6	5.528
A0A2E3CVC5	5.219
A0A2R6HPX0	5.219
V9G875	5.219
A0A060CPX1	4.928
A0A3S4TH93	4.928
A0A756L4U4	4.928
D8JBQ3	4.928
A0A525JR72	4.928
A0A3M7M2B6	4.928
A0A075K2F0	4.928
A0A3D2JKW7	4.653
A0A350C9Y2	4.653
M0JIY8	4.653
A0A256J242	4.653
A6DI12	4.393
A0A225M9P3	4.393
C9Z269	4.147
A0A194VWG9	4.147
A0A736P6V9	4.147
A0A0N0K315	4.147
A0A5A5R3V5	4.147
A0A5Y5LEK3	4.147
A0A8B6DDZ6	3.916
A0A709KRC6	3.916
A0A7J3X858	3.916
A0A4Q3AR98	3.916
