PDB_ID	bits
3syvH	9.783
5wd9A	9.783
3etjB	9.783
7qnlAAA	9.196
2oxlB	9.196
3m4bA	9.196
3m4bA	9.196
7x6gA	8.645
6o8zZ	8.645
5he1A	8.645
8glvJT	8.645
5w6lA	8.127
1pc2A	8.127
6rceI	8.127
5ow5D	8.127
6c2yA	8.127
6f09P	7.639
6jodC	7.181
1b6sD	6.751
6ossC	5.965
8j7eF	5.965
4djgA	5.608
5xu0A	4.955
4djgB	4.955
1b6sA	4.658
4mbgA	3.419
4lnbA	1.96
5vmmF	0.0003859
5vmmE	0.0002353
7pchF	8.225e-05
4ij2G	1.456e-05
4ij2F	1.005e-05
7w81B	8.879e-06
2lhrA	8.879e-06
4ij2H	8.347e-06
6tb2E	2.743e-06
A0A6B5FHE9	9.632
A0A844R2C4	9.632
A0A0E1X4F7	9.632
A0A7U8ST18	9.632
A0A7U8F5J8	9.632
Q6G8J7	9.632
A0A380DR57	9.632
Q2YX96	9.632
A0A7U9AIE0	9.632
A0A133Q4G2	9.632
A0A853V3K9	9.632
A0A6M2AKN6	9.632
A0A178PFC1	9.632
A0A033U6Y8	9.632
A0A2T4RTG3	9.632
A0A2H9LF77	9.632
A0A497F330	9.632
A0A3M1BCW9	9.632
A0A1W9RIG2	9.632
A0A7J2PV54	9.632
B5YCU8	9.632
A0A7C1BEW1	9.632
A0A660ZFL6	9.632
A0A497MIY3	9.632
A0A7Y5HDC6	9.632
H5SI70	9.632
A0A5E4JGG5	9.632
A0A1F9ACP9	9.632
A0A7C1L0L2	9.632
A0A497QLI4	9.054
A0A1S1F1H4	9.054
X1GK00	9.054
A0A7C4CHC1	9.054
A0A1V5P980	9.054
A0A2T4QTM0	9.054
A0A7J4FZJ0	9.054
A0A662PYI8	9.054
A0A3A4PW73	9.054
A0A7C4F363	9.054
A0A497NNP9	9.054
A0A2D6M1V6	9.054
A0A550GRA1	9.054
A0A497I530	9.054
A0A7J2IPR4	9.054
A0A2D6F210	9.054
A0A7V1EGZ2	9.054
A0A7V3S1M3	9.054
A0A3B8JQB9	9.054
A0A7C7DAA4	9.054
A0A800ACA9	9.054
