PDB_ID	bits
1xmxA	9.212
4l85B	6.762
6zj2N	5.976
6zixB	5.618
2qh5A	5.281
1hyqA	5.281
6xehA	4.964
5vxnA	4.124
5vxnB	3.877
5eigG	3.877
6zj2D	3.644
1zgzC	3.644
6s5oF	3.028
4knyB	3.028
5f64C	3.028
2qh5B	2.515
5vxnD	2.515
4e7pA	2.364
5w43A	2.223
5eigC	1.964
5vxnC	1.964
6y3xA	1.964
5iejA	1.846
1oxkB	1.846
2xiqA	1.736
5o8zA	1.534
6zj2A	1.534
1lsuB	1.442
5x4bB	1.442
3to5A	1.355
2nmpA	1.355
5eigA	1.355
6eo3B	1.274
1p2fA	1.126
6zixA	0.9951
6oecK	0.9354
4yraH	0.9354
6zj2M	0.9354
2ogjE	0.8794
6oecD	0.8794
4ldzB	0.8794
3h5iA	0.8267
6hg3A	0.8267
6zj2O	0.8267
6b5bC	0.8267
6oecG	0.7771
6ovgG	0.7771
3c85D	0.7305
6zj2C	0.7305
4s04F	0.7305
