PDB_ID	bits
2yjnB	0.0007225
6hqgC	4.211e-07
6hqgB	1.56e-07
5bv5B	1.039e-07
8gtlB	9.076e-08
4dxyA	5.779e-08
5bv5C	4.408e-08
6hqgD	4.028e-08
5kyoF	2.683e-08
5h1zA	1.87e-08
4fxbA	1.708e-08
5bv5A	1.708e-08
2rfbA	1.191e-08
6hqtA	1.138e-08
5hh3C	9.939e-09
3be0A	9.081e-09
6l3aB	8.681e-09
4l36B	7.247e-09
2rfbC	6.329e-09
3nv5A	6.05e-09
5mnvG	6.05e-09
3ofuF	5.527e-09
6ycmA	5.05e-09
2rfcA	4.827e-09
1uedA	4.614e-09
1uedB	4.216e-09
6hqrA	4.03e-09
3ofuC	4.03e-09
3e5kA	3.852e-09
2cp4A	3.852e-09
6wgwB	3.52e-09
6hqnA	3.52e-09
6hqmA	3.52e-09
4tvfA	3.364e-09
6yckA	3.216e-09
3wriB	3.216e-09
6ycoA	3.074e-09
2rclB	3.074e-09
2x9pA	2.938e-09
6ycnA	2.938e-09
4c9oB	2.809e-09
1t2bA	2.809e-09
6yclA	2.809e-09
5mnvE	2.566e-09
3nc6A	2.241e-09
8gtlA	2.142e-09
6g5qB	2.048e-09
6hqwA	1.957e-09
5kyoA	1.957e-09
6g5oA	1.957e-09
A0A315VW07	0.0204
A0A3P8ZXQ9	0.01187
A0A7L1ESG0	0.005267
A0A672TNN2	0.004397
A0A3P8ZIX5	0.004203
A0A3M0KEQ9	0.003354
A0A3M0KWA8	0.002136
A0A315WC75	0.001423
A0A6P6N8P9	0.001188
A0A1W0W9Z9	0.0007562
A0A6J2PGM5	0.0005514
A0A1W0WKY0	0.0003843
A0A5J5DNG0	0.0002236
A0A1W0WNU2	0.0002137
A0A1W0WMT0	0.0001952
A0A1W0WSS6	0.0001866
A0A8B0MCX9	0.0001558
A0A1W0WKI3	0.0001038
A0A8B0MCW5	8.282e-05
A0A1W0WPZ9	7.233e-05
A0A1W0WLP3	5.041e-05
A0A1W0WDH1	5.041e-05
A0A1W0WIG7	4.606e-05
A0A1W0WBN7	3.358e-05
A0A8B0MC18	3.21e-05
A0A8B0MFH3	2.803e-05
B6V7G4	2.044e-05
A0A2L2Y1J5	1.49e-05
A0A1W0WH96	1.137e-05
A0A8B0MFR3	1.086e-05
A0A672TXI7	1.038e-05
A0A1B0GGZ3	8.287e-06
A0A1W0W8H9	7.237e-06
A0A7R9EYE5	5.52e-06
A0A2L2Y6V9	3.847e-06
A0A8B0MFE1	3.07e-06
A0A8B0MF47	3.07e-06
A0A1V0D9E9	3.07e-06
A0A3M0KDW6	2.563e-06
A0A2L2XYC8	2.563e-06
A0A8B0MCM4	2.45e-06
A0A8B0MFP9	2.238e-06
A0A4Y2HAM5	1.955e-06
A0A8B0MFL4	1.869e-06
A0A5J5DRV4	1.869e-06
A0A7K9WWJ4	1.707e-06
A0A1W0WQ83	1.491e-06
A0A4Y2H0I2	1.362e-06
A0A0N4X5L9	1.039e-06
A0A1W0WQ80	1.039e-06
