PDB_ID	bits
4iwbA	4.711
4ewcA	2.023e-09
5n2uA	5.946e-17
5n2uC	3.84e-17
5n2uB	3.162e-17
5n2uD	3.224e-18
3tj0B	7.957e-32
3tj0A	8.112999999999999e-33
6h9gA	2.706e-49
4iryA	8.853e-50
7dkgA	6.424e-51
2ymnB	1.196e-52
2ymnC	9.851e-53
7dxpA	3.5519999999999996e-53
4dytC	5.607e-54
4bblA	3.802e-54
7dkgB	6.943000000000001e-55
2iqhB	3.04e-55
4dytB	2.628e-55
2iqhC	8.598000000000001e-56
4iryB	2.206e-56
7nt8B	1.357e-56
5b7bA	7.218e-57
4dytA	4.441e-57
5b7bB	1.525e-57
5b7bE	6.678e-58
4dyaA	5.4990000000000005e-58
7dxpB	4.5280000000000004e-58
3tg6B	4.3130000000000005e-58
4dypB	2.9240000000000003e-58
3ro5B	2.528e-58
7nt8A	1.411e-58
5b7bF	1.2800000000000001e-58
8pzpA	6.486e-59
2q06B	5.6069999999999995e-59
4dysA	3.621e-59
2q06A	2.021e-59
3zdpB	2.759e-60
3zdpA	1.2079999999999999e-60
4dysB	8.597e-61
4dynA	6.743e-61
4dynB	3.1e-61
3zdpC	1.73e-61
6j1uB	9.202e-62
6j1uA	1.318e-62
4dysC	6.06e-63
6j1uC	5.238e-63
A0A1Y1LNL2	9.915
A0A0K8VWD7	9.445
W8BV85	8.997
A0A7K3LIB4	8.57
A0A6M2DEG6	8.164
A0A4Y2PTU0	7.777
H9JUJ8	7.777
T1FL40	7.408
A0A846KRN5	7.408
E0S049	6.403
A0A6A4RTT3	5.273
A0A1V5CW99	4.784
A0A259ULX2	4.341
A0A0N4UE30	3.09
A0A415IP61	2.544
A0A4Y2EZ54	0.005589
A0A2D6RT47	0.002115
A0A5Q2FX18	4.216e-06
A0A1M5VHY8	4.095e-07
A0A1G3HEH7	1.051e-07
B7RG14	1.659e-08
A0A5J6P3C6	8.163e-10
