PDB_ID	bits
7pn1A	0.2822
7pmyA	0.2822
8pg0A	0.2489
7ydqA	0.1858
7eebL	0.1387
7nqkA	0.1224
7pmwA	0.1174
8phwA	0.108
7wn1A	0.09527
2gfpB	0.08764
8hnhA	0.08405
7s8uA	0.05536
6ob7A	0.03354
6ob6B	0.02303
8bb6B	0.02032
8jzxB	0.01649
6ob6A	0.01042
2v8nB	0.01042
7n98A	0.009991
8hncA	0.009582
2y5yA	0.008454
8wx2B	0.007777
5ayoA	0.007154
8hndA	0.00658
6ji1A	0.006311
5aynA	0.005806
1pv6B	0.005122
6btxA	0.004912
6s7vA	0.004712
2y5yB	0.003987
5a2oB	0.003824
8jzrB	0.003824
8wx5A	0.003517
7oixB	0.003517
5gxbA	0.003235
8cniB	0.003103
8hikA	0.002738
4tpgB	0.002626
8d2sA	0.00188
7l17A	0.00188
7zc2A	0.001803
5aymA	0.001729
4zyrB	0.001591
4ikwA	0.001591
8p6aA	0.001346
4apsB	0.001291
4q65A	0.001238
8d2wA	0.001188
8dl7A	0.001139
8b1jA	0.001139
