PDB_ID	bits
6u5vB	9.53
7y8yA	9.53
5jk6A	8.974
1nxiA	8.45
4rbtA	7.957
1kohC	7.957
3phtB	7.957
5a76B	6.643
7y8tA	6.643
4rleA	6.255
2hzvC	5.89
2zthA	5.89
6yc7F	5.546
7apdH	5.546
1kohA	5.222
8d9iB	4.917
2fklB	4.917
2joqA	4.917
2wvbB	4.63
2dbbB	4.63
1kooA	4.36
4yhuC	4.36
2qmxA	4.36
1oscF	4.105
7aocK	4.105
2efqA	3.865
3ab4L	3.865
2gv1A	3.64
3i4pA	3.64
5v74O4	3.64
7y81A	3.64
7b90E	3.64
5iqr8	3.227
2wvdB	3.227
3phtA	2.861
2pn6A	2.861
7r2zC	2.694
1r9wA	2.694
6jshB	2.537
5mrfJJ	2.537
7r2zB	2.537
2gqqA	2.389
6n4aF	2.389
4czdD	2.389
3l7pA	2.389
6yc7C	2.389
2e29A	2.389
8d8lJ	2.249
5fiiD	2.249
6n0fH	2.249
Q4P8R9	0.05243
A0A0J8RM08	0.03441
A0A182NSX0	0.02002
A0A6J0BTN4	0.006012
A0A060WH91	0.005331
A0A3P7YBD5	0.004726
A0A315W9G7	0.002921
A0A673MYY0	0.002921
G7DZ99	0.00259
A0A150GZM3	0.00259
A0A4D8Y0R1	0.002438
A0A3M0KPU0	0.002296
A0A6P3QMU8	0.002036
A0A5S6R3A7	0.0017
A0A5J5D869	0.0016
A0A3S5CDF3	0.001507
A0A1J4MQS3	0.001419
A0A819FLF9	0.001115
C1JCG7	0.00105
A0A699YSB5	0.0007775
A0A6B2L1X6	0.0005755
A0A6B2L1L4	0.0005419
A0A851QLZ3	0.0005419
A0A813EI48	0.0005103
A0A815WV91	0.0004805
A0A6B2L9G8	0.0004805
A0A7S1BM28	0.000426
I7AGL3	0.000426
A0A1W0WCN5	0.0004011
A0A1D1ZP16	0.0004011
A0A2L2Y0V6	0.0003153
A0A6G1PKQ6	0.0002969
K0KHQ2	0.0002969
A0A1Z5TS15	0.0002796
A0A453IWB8	0.0002796
A0A813EG32	0.0002633
I1MR65	0.0002479
A0A4D8Y971	0.0002479
I1M0W4	0.0002334
A0A2L2Y0Q8	0.0002198
A0A0X8HRB8	0.0001835
A0A167M453	0.0001728
J7I312	0.0001728
A0A835BK72	0.0001532
A0A7J7NEG0	0.0001279
A0A085NN85	0.0001279
A0A813EEX6	0.0001204
G7DX96	0.0001204
G7E6K1	0.0001204
A0A1Q3FNM4	0.0001134
