PDB_ID	bits
8jdlAH	9.524
4iz9A	9.121
1zc6A	8.735
3hz6A	8.011
3flcO	8.011
7qggSV	8.011
1xc3A	7.347
3h6eB	7.036
3enoB	7.036
6z6mSV	7.036
3ezwH	7.036
5vm1B	6.738
6yalX	6.738
7nieA	6.453
4bc5B	6.453
3ezwC	6.18
3ezwB	6.18
5ya1B	6.18
3r8eA	6.18
5jmvB	5.918
7xhtA	5.918
5ya0B	5.918
6zq4C	5.918
3l0qB	5.918
3kzbA	5.668
1gllO	5.668
3h3nX	5.428
3ezwD	5.428
3ll3B	5.428
2d4wB	4.978
4c1nX	4.978
6k76B	4.767
3sk3B	4.565
3gg4A	4.372
3ezwE	4.372
4ehuA	4.187
3gg4B	3.84
5ya2B	3.84
3ezwG	3.677
3flcX	3.522
8ctlD	3.23
3i8bA	3.23
3gbtA	3.093
2qm1B	3.093
5aziA	2.717
1bo5O	2.717
3ezwF	2.602
6zq6D	2.285
6zq6B	2.007
5gn5B	1.617
