PDB_ID	bits
5uk5B	9.549
5mw5A	9.036
7nycG	9.036
3ho5B	8.09
4pj9C	7.656
8b0hH	6.855
4cc1B	6.486
4z6aL	6.486
4pjfG	6.137
1uzjC	5.495
5kxhB	5.495
6h04C	4.656
1f7eA	4.169
1ff7A	4.169
7nydD	3.342
1j9cL	3.162
4cbzA	2.832
3zygB	2.535
2ygqA	2.535
1bf9A	2.535
5l0sB	2.399
5ky2B	2.399
1m11R	2.27
5l0rB	2.27
5ub5B	2.148
1lmjA	1.923
1w2kL	1.82
4ylqL	1.82
2puqL	1.82
1fakL	1.63
8b0hD	1.63
1f7mA	1.63
8b0fD	1.63
3tbdA	1.542
8b0gD	1.459
4bdxA	1.381
3ojyB	1.236
5ky4B	1.17
2flbL	1.107
1tozA	1.107
3zyjD	0.991
3zyiB	0.991
5b1rA	0.9378
5l0uB	0.9378
1ixaA	0.9378
1dvaM	0.8397
1xkbA	0.8397
4xbmB	0.7518
5ky7B	0.6732
8cn9D	0.5107
A0A2I3T7D5	0.008121
L5LTU1	0.00688
A0A3L7HJF5	0.005516
A0A7K6ZPW0	0.004673
A0A6J0AUZ4	0.004422
F7E0Z9	0.004422
G1MXK5	0.004184
A0A091R5G0	0.004184
A0A3B3T679	0.003545
A0A6J1VQ67	0.003545
A0A226PVZ7	0.003004
A0A3M0K4Y0	0.002842
A0A7L4KCU0	0.00204
A0A1S3F4N2	0.001931
A0A7K9Z9I5	0.001311
A0A670Y983	0.001051
Q95LG1	0.001051
A0A5N4CNH4	0.0009413
A0A1L8GNL9	0.0007975
A0A2K6T4W0	0.0006394
A0A455BKT0	0.0006394
A0A3B1IKJ8	0.0006394
U3JLG3	0.0005725
A0A1V4JXG9	0.0005417
A0A7K7P6W9	0.000485
A0A672U8Y4	0.000459
A0A452GRI2	0.000459
A0A2I0MCB0	0.0004343
A0A3B4D3E6	0.0004343
A0A452QDD1	0.0003888
A0A663LLL9	0.0003888
A0A5N5LAC2	0.0003117
A0A3B4D9Y5	0.000295
A0A7K6VYP4	0.0001896
A0A6P3QT50	0.0001606
A0A672PDJ8	0.0001438
A0A6G1PLG0	0.0001361
A0A337RZ87	0.0001288
A0A6Q2ZQ42	0.0001219
A0A1V4JXP8	9.769e-05
A0A672U932	4.763e-05
A0A4D9E4Z8	4.265e-05
P98110	3.613e-05
A0A662YQN3	3.061e-05
A0A1L8GNL2	3.061e-05
A0A671P209	2.454e-05
A0A669PM62	2.454e-05
A0A836A6M9	2.454e-05
A0A7J6BZ70	2.322e-05
A0A6P6LVX0	2.198e-05
