PDB_ID	bits
6w2iA	9.692
2do6B	9.692
4r71C	8.562
2mgwA	8.562
6w2hA	8.562
4ae4A	8.562
3m66A	8.562
4s12B	8.562
4tlgB	8.047
4cqgA	8.047
6xqiG	8.047
2oobA	7.563
6vvoA	7.563
2mr9A	7.563
6l1qC	7.109
2qsfX	7.109
6iewA	7.109
6w2gB	7.109
7f7xB	6.681
2knzA	6.681
1wj7A	6.681
2dklA	6.28
4kblA	5.902
2jy5A	5.902
6c95D	5.547
5he9E	5.547
1wglA	5.547
3f92A	5.214
3agpA	4.9
2lbcA	4.9
1wivA	4.9
2jz0B	4.606
3mmpA	4.606
1zv1B	4.606
6exzA	4.329
1ctfA	4.069
1z96B	4.069
5dflA	4.069
6opfD	3.824
3k9oA	3.824
3avwA	3.594
2do6A	3.594
6jb7A	3.378
2dakA	3.378
2jp7A	3.175
3rxyC	2.984
7t8jA	2.805
4wp2F	2.805
4s12A	2.805
2khhA	2.636
U6DNV7	9.498
X5D9E5	9.498
Q6PD86	9.498
A0A673UNR3	8.927
A0A6P6HHX1	8.927
G5B6H7	8.927
A0A1S3L7R2	8.927
A0A7N9DFE9	8.927
S7N0Z3	8.927
A0A6J0SVG7	8.927
A0A091HBS7	8.927
A0A0S7LMX8	8.391
A8KBC4	8.391
A0A480P6I8	8.391
F1QJ69	8.391
A0A2D4EKJ8	8.391
D3Z210	8.391
U6D8J8	8.391
A0A7J8BFM4	7.886
A0A2J8VEJ5	7.886
A0A7R7W9P7	7.886
A0A5M9M8H9	7.886
A0A1E1WA73	7.886
A0A6A6TUI2	7.886
A0A1E4TUT2	7.886
A0A0N4VQG0	7.886
A0A0J9WMA7	7.412
A0A7R9M3W9	7.412
A0A5F8GFM0	7.412
A0A154PIP1	7.412
A0A0B2W1H4	7.412
A0A067QM92	7.412
A0A1X0RGJ5	7.412
Q6DGM1	7.412
Q8IYN6	7.412
A0A663ELQ4	7.412
A0A7N8X9E7	7.412
A0A834ESW8	7.412
A0A1J4MBF7	6.967
A0A0N5CJP1	6.967
A0A3R7MSW8	6.967
A0A7K6IBW4	6.967
A0A1L1RQN2	6.967
A0A3B3QIH4	6.967
F1QZA6	6.967
E3TG72	6.967
A0A6P6XU78	6.967
A0A151N3P4	6.967
A0A7K5PP27	6.967
A0A131XDH4	6.967
