PDB_ID	bits
1quqA	9.861
2vwjA	9.861
3rnuD	9.861
8aluA	9.861
4cj2D	9.861
5uahD	9.861
6koi_V	9.861
4yfxD	9.861
7rdqD	9.861
1sk6A	9.861
2vwkA	9.861
8jpdG	9.861
1h9rA	9.248
6n58J	9.248
5kuiA	9.248
7ox5A	9.248
5ui8J	9.248
5dv7C	9.248
5yvqA	9.248
3cfiB	9.248
6ucaA	9.248
3cjtG	9.248
8sojB	8.674
3hpbA	8.674
6j9fD	8.674
4jbkA	8.674
4xszJ	8.674
2lt7A	8.674
3gd3A	8.674
1k90C	8.674
1whqA	8.674
3cfiE	8.135
1sp4B	8.135
1sk6C	8.135
5b0vA	7.629
6o5bI	7.629
3b6yB	7.629
3cjtO	7.629
2ippB	7.629
4yfnD	7.629
4lnqB	7.155
4jbjA	7.155
5k5yA	7.155
1k93B	7.155
5xj0D	7.155
4mk0A	7.155
2v6vB	7.155
1xfuB	7.155
4p78D	6.711
4joiA	6.711
