PDB_ID	bits
2cugA	8.159
2k85A	1.639
7abfA4	1.448
2e71A	0.5736
2kiqA	0.5736
4fqgA	0.4766
7abgA4	0.4213
2jucA	0.3291
7oqeK	0.3291
2doeA	0.1152
2cqnA	0.06609
2kisA	0.05492
2dodA	0.04563
3hfhB	0.0429
3hfhA	0.02175
2l9vA	0.001352
2kzgA	6.561e-05
G9KIQ7	5.227
A0A3M0LIJ8	4.914
A0A643C3B9	4.083
A0A803T0A3	2.999
A0A851CZS9	2.65
A0A803T6F6	2.343
A0A672V206	2.343
L5MBF5	2.202
A0A452RRR9	1.946
A0A3L7HGV2	1.946
A0A452TFE4	1.946
A0A7K7GD62	1.83
A0A672UYK0	1.83
A0A4X2LK77	1.83
B4DPY2	1.72
B3DL77	1.72
A0A852CA36	1.617
A0A7K9RU92	1.617
A0A6J3IJG2	1.617
A0A2J8V7A0	1.521
A0A7K8WIB4	1.521
A0A670IM24	1.429
D3ZJ92	1.429
A0A6I8R7S4	1.429
A0A2D4L8C6	1.429
A0A852KH50	1.429
Q05C41	1.429
A0A452TFH2	1.429
A0A1A6G0L2	1.429
A0A4W3HVU5	1.429
Q08AZ7	1.429
A0A4W5QSW5	1.429
A0A674B3K2	1.344
A0A673CXS9	1.344
A0A4Z2J2P6	1.344
A0A444U2V9	1.263
A0A3P8VTI4	1.263
A0A6Q2WTW1	1.263
A0A3P8TJ36	1.263
G3NR33	1.188
A0A7J5Y169	1.188
A0A3Q1G4M2	1.117
A0A6I9ND85	1.117
A0A674B2E0	1.117
A0A6P6KQ16	1.117
A0A0S7FG74	1.117
A0A060Y4E4	1.05
A0A3Q1J6Q9	1.05
A0A4W6FLM7	1.05
A0A3Q3G370	1.05
